인천,동구,166~198㎡,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천,동구,198㎡초과,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천,남구,합계,349,364,430,529,583,773,2259,2284,1182,946,1583,479,376,415,565,446,511,507,445,464,1085,2328,668,590,448,349,443,449,465,1347,839,1345,1276,550,477,320,1009,1187
인천,남구,20㎡이하,15,58,17,8,8,5,5,4,6,3,3,3,12,9,6,6,6,10,1,12,25,11,8,14,7,10,13,2,9,2,6,8,7,10,15,4,7,5
인천,남구,21~40㎡,11,11,12,14,23,54,28,50,52,54,32,17,32,21,106,11,29,21,13,17,30,17,26,44,49,21,12,17,8,34,9,15,17,30,25,20,27,39
인천,남구,41~60㎡,155,140,216,221,245,318,643,626,348,323,788,190,155,172,198,219,240,251,227,214,438,206,207,259,214,176,200,181,202,835,474,421,212,220,230,109,473,177
인천,남구,61~85㎡,129,117,144,222,227,314,1181,1179,539,441,685,172,115,152,116,139,185,184,153,161,538,2039,388,231,132,111,174,194,203,442,298,864,998,234,165,157,472,864
인천,남구,86~100㎡,9,7,4,14,15,23,135,132,73,27,12,31,5,10,16,16,11,4,10,6,16,10,3,12,16,5,8,8,6,7,14,10,9,7,10,4,4,82
인천,남구,101~135㎡,27,24,27,38,51,50,264,284,157,94,53,44,46,40,113,49,35,27,33,38,30,38,29,21,17,15,27,41,30,21,27,24,26,36,30,15,17,15
인천,남구,136~165㎡,3,7,8,10,13,7,2,7,7,3,7,7,5,7,6,6,5,9,6,15,5,4,7,8,12,11,7,6,7,6,10,3,6,11,1,9,6,4
인천,남구,166~198㎡,0,0,2,1,0,2,1,2,0,1,3,7,6,4,4,0,0,1,2,0,1,3,0,1,1,0,2,0,0,0,1,0,1,2,1,1,3,0
인천,남구,198㎡초과,0,0,0,1,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
인천,연수구,합계,1259,553,709,1126,1422,1344,1158,1206,1204,1728,1270,735,504,800,2054,2034,2274,1538,1306,2415,3171,1114,1212,2004,2978,2440,1124,745,734,549,617,640,967,1489,2211,1608,815,578
인천,연수구,20㎡이하,1,0,0,0,0,0,3,1,0,2,0,0,1,3,0,0,1,1,0,2,0,2,2,1,2,1,2,0,0,3,0,0,2,1,1,1,1,0
인천,연수구,21~40㎡,34,26,35,42,38,23,26,25,22,31,19,7,13,26,34,29,38,38,35,41,45,61,80,55,33,20,26,24,14,6,22,44,44,45,34,15,19,22
인천,연수구,41~60㎡,282,164,207,238,347,335,267,300,467,924,512,203,118,163,414,155,199,291,327,486,226,424,273,259,241,242,163,132,128,121,135,136,207,405,823,459,189,153
인천,연수구,61~85㎡,514,207,273,542,716,614,536,587,503,542,501,352,232,447,1460,1694,1817,989,728,1618,2154,433,485,1323,2198,1799,715,432,445,304,340,355,555,800,1135,927,471,316
인천,연수구,86~100㎡,47,22,27,30,51,51,50,46,56,54,56,42,40,51,45,51,94,77,63,69,574,62,73,157,280,209,67,40,40,26,24,21,47,56,25,31,30,15
인천,연수구,101~135㎡,358,115,144,240,246,289,253,209,136,142,152,112,84,100,84,94,97,114,122,169,136,106,270,173,199,148,120,97,79,73,78,69,96,157,164,150,92,54
인천,연수구,136~165㎡,21,18,21,28,18,29,20,32,17,32,24,14,13,9,15,7,23,24,22,20,27,25,21,27,18,18,26,18,19,13,17,13,11,19,24,20,9,16
인천,연수구,166~198㎡,1,1,2,5,3,2,2,6,3,0,6,5,2,1,2,1,4,4,8,9,5,1,7,8,7,2,4,1,6,3,1,2,4,5,4,4,4,2
인천,연수구,198㎡초과,1,0,0,1,3,1,1,0,0,1,0,0,1,0,0,3,1,0,1,1,4,0,1,1,0,1,1,1,3,0,0,0,1,1,1,1,0,0
인천,남동구,합계,489,516,615,665,873,925,1352,1395,1002,993,925,674,758,789,800,723,763,941,1259,2410,1361,1120,1301,755,708,568,1296,1002,659,618,524,447,590,868,652,602,525,417
인천,남동구,20㎡이하,4,9,52,10,7,9,22,274,34,12,8,4,7,7,7,13,3,15,16,18,16,26,10,17,8,4,19,20,16,25,9,9,6,6,5,11,8,3
인천,남동구,21~40㎡,23,53,69,55,84,85,86,101,68,83,63,46,41,42,42,55,50,64,47,79,60,54,52,59,34,44,27,40,39,32,23,21,31,50,34,29,33,24
인천,남동구,41~60㎡,150,202,198,259,317,390,812,496,415,306,280,194,136,167,208,267,297,330,303,333,294,252,281,194,178,155,207,203,216,179,179,136,184,311,238,283,194,126
인천,남동구,61~85㎡,197,181,230,255,357,339,334,393,363,442,415,306,424,396,398,300,314,413,701,1866,850,679,856,404,397,266,944,666,313,293,230,200,275,358,286,204,204,197
인천,남동구,86~100㎡,8,5,9,8,26,15,9,18,14,23,21,36,83,97,70,21,19,11,71,12,7,6,7,5,8,11,8,5,7,3,7,10,6,9,11,4,6,2
