구시군,읍면동,아파트명,분양면적,총세대수,세대수,매매평균..당가.만원.,X3.3.당가.만원.,노후도,역세권점수,전세평균..당가.만원.,토지면적.km2.,문화시설수,쇼핑시설수,스타벅스,3년 평균 인구수,3년 평균 세대수,초중고현황,개발호재유무
계양구,계산동,영남,69.42,360,180,206,681,28,2,218,4.55,5,91,1,84796,34699,17,
계양구,계산동,영남,66.11,360,60,200,662.6,28,2,160,4.55,5,91,1,84796,34699,17,
계양구,계산동,영남,59.5,360,60,193,638.9,28,2,154,4.55,5,91,1,84796,34699,17,
계양구,계산동,원흥,66.11,170,128,208,687.6,26.07,2,151,4.55,5,91,1,84796,34699,17,
계양구,계산동,원흥,59.5,170,36,206,680.6,26.07,2,122,4.55,5,91,1,84796,34699,17,
계양구,계산동,원흥,76.03,170,6,194,641.3,26.07,2,170,4.55,5,91,1,84796,34699,17,
계양구,계산동,은행강북,128.92,216,216,264,871.8,21.05,2,161,4.55,5,91,1,84796,34699,17,
계양구,계산동,은행삼보,112.39,436,260,303,1000.1,20.04,2,160,4.55,5,91,1,84796,34699,17,
계양구,계산동,은행삼보,125.62,436,88,283,934.2,20.04,2,217,4.55,5,91,1,84796,34699,17,
계양구,계산동,은행삼보,142.14,436,88,257,848.9,20.04,2,245,4.55,5,91,1,84796,34699,17,
계양구,계산동,은행아주,79.33,612,144,321,1062.6,21.05,2,227,4.55,5,91,1,84796,34699,17,
계양구,계산동,은행아주,81.98,612,22,311,1028.3,21.05,2,201,4.55,5,91,1,84796,34699,17,
계양구,계산동,은행아주,95.86,612,446,303,1000.1,21.05,2,265,4.55,5,91,1,84796,34699,17,
계양구,계산동,은행태산,125.62,544,544,271,894.7,21.04,2,261,4.55,5,91,1,84796,34699,17,
계양구,계산동,은행태평,89.25,574,460,300,990.8,21.06,2,256,4.55,5,91,1,84796,34699,17,
계양구,계산동,은행태평,105.78,574,114,293,968.8,21.06,2,227,4.55,5,91,1,84796,34699,17,
계양구,계산동,인정프린스,105.78,299,72,232,765.7,26.08,2,272,4.55,5,91,1,84796,34699,17,
계양구,계산동,인정프린스,82.64,299,22,227,750,26.08,2,251,4.55,5,91,1,84796,34699,17,
계양구,계산동,인정프린스,99.17,299,61,224,741.7,26.08,2,194,4.55,5,91,1,84796,34699,17,
계양구,계산동,인정프린스,128.92,299,63,213,705.2,26.08,2,194,4.55,5,91,1,84796,34699,17,
계양구,계산동,인정프린스,92.56,299,31,209,691.1,26.08,2,182,4.55,5,91,1,84796,34699,17,
계양구,계산동,인정프린스,95.86,299,22,203,672.5,26.08,2,178,4.55,5,91,1,84796,34699,17,
계양구,계산동,인정프린스,112.39,299,28,200,661.8,26.08,2,178,4.55,5,91,1,84796,34699,17,
계양구,계산동,지산그라띠아,109.63,137,69,251,829.2,15.05,2,172,4.55,5,91,1,84796,34699,17,
계양구,계산동,지산그라띠아,119.44,137,10,237,781.9,15.05,2,167,4.55,5,91,1,84796,34699,17,
계양구,계산동,지산그라띠아,82.18,137,48,231,764.3,15.05,2,182,4.55,5,91,1,84796,34699,17,
계양구,계산동,지산그라띠아,50.76,137,10,192,635,15.05,2,176,4.55,5,91,1,84796,34699,17,
계양구,계산동,태산저층,59.5,408,36,208,688.9,28.05,2,167,4.55,5,91,1,84796,34699,17,
계양구,계산동,태산저층,69.42,408,72,202,666.7,28.05,2,170,4.55,5,91,1,84796,34699,17,
계양구,계산동,태산저층,52.89,408,119,199,656.3,28.05,2,170,4.55,5,91,1,84796,34699,17,
계양구,계산동,태산저층,52.89,408,1,199,656.3,28.05,2,166,4.55,5,91,1,84796,34699,17,
계양구,계산동,태산저층,56.19,408,180,196,647.2,28.05,2,160,4.55,5,91,1,84796,34699,17,
계양구,계산동,태평저층,56.19,432,168,231,764.8,28,2,160,4.55,5,91,1,84796,34699,17,
계양구,계산동,태평저층,69.42,432,168,223,738.1,28,2,169,4.55,5,91,1,84796,34699,17,
계양구,계산동,태평저층,76.03,432,48,201,663.1,28,2,166,4.55,5,91,1,84796,34699,17,
계양구,계산동,태평저층,72.72,432,48,199,659.2,28,2,158,4.55,5,91,1,84796,34699,17,
계양구,계산동,"팬더1,2차",56.19,504,12,214,706,29.03,2,151,4.55,5,91,1,84796,34699,17,
계양구,계산동,"팬더1,2차",69.42,504,36,207,683.4,29.03,2,147,4.55,5,91,1,84796,34699,17,
계양구,계산동,"팬더1,2차",76.03,504,36,204,673.9,29.03,2,137,4.55,5,91,1,84796,34699,17,
계양구,계산동,"팬더1,2차",62.81,504,150,201,665.8,29.03,2,131,4.55,5,91,1,84796,34699,17,
계양구,계산동,하나,66.11,994,108,257,850.1,30.05,2,185,4.55,5,91,1,84796,34699,17,
계양구,계산동,하나,59.5,994,48,252,833.4,30.05,2,176,4.55,5,91,1,84796,34699,17,
계양구,계산동,하나,52.89,994,288,251,828.2,30.05,2,169,4.55,5,91,1,84796,34699,17,
계양구,계산동,하나,56.19,994,550,245,808.9,30.05,2,161,4.55,5,91,1,84796,34699,17,
계양구,계산동,한국,105.78,416,416,265,875,27.07,2,227,4.55,5,91,1,84796,34699,17,
계양구,계산동,한미삼오,82.64,151,79,218,720,22,2,177,4.55,5,91,1,84796,34699,17,
계양구,계산동,한미삼오,56.19,151,12,209,691.3,22,2,170,4.55,5,91,1,84796,34699,17,
계양구,계산동,한미삼오,95.86,151,15,206,681.1,22,2,163,4.55,5,91,1,84796,34699,17,
계양구,계산동,한미삼오,105.78,151,45,203,671.9,22,2,160,4.55,5,91,1,84796,34699,17,
계양구,계산동,현대,89.25,1248,306,275,907.5,26.1,2,217,4.55,5,91,1,84796,34699,17,
계양구,계산동,현대,105.78,1248,806,255,843.8,26.1,2,213,4.55,5,91,1,84796,34699,17,
계양구,계산동,현대,165.29,1248,136,213,705,26.1,2,145,4.55,5,91,1,84796,34699,17,
계양구,작전동,가나안미도,99.17,480,180,217,716.7,28.01,1,188,1.8,3,39,1,56565,22155,7,
계양구,작전동,가나안미도,102.47,480,150,215,709.7,28.01,1,187,1.8,3,39,1,56565,22155,7,
계양구,작전동,가나안미도,92.56,480,30,211,696.4,28.01,1,181,1.8,3,39,1,56565,22155,7,
계양구,작전동,가나안미도,82.64,480,90,200,660,28.01,1,178,1.8,3,39,1,56565,22155,7,
계양구,작전동,가나안미도,105.78,480,30,199,656.3,28.01,1,175,1.8,3,39,1,56565,22155,7,
계양구,작전동,광명11차,59.5,288,108,205,677.8,29,1,147,1.8,3,39,1,56565,22155,7,
계양구,작전동,광명11차,72.72,288,84,203,670.5,29,1,145,1.8,3,39,1,56565,22155,7,
계양구,작전동,광명11차,76.03,288,72,197,652.2,29,1,143,1.8,3,39,1,56565,22155,7,
계양구,작전동,광명11차,79.33,288,24,190,629.2,29,1,135,1.8,3,39,1,56565,22155,7,
계양구,작전동,까치태화,79.33,1004,576,292,966.8,21.01,1,130,1.8,3,39,1,56565,22155,7,
계양구,작전동,까치태화,52.89,1004,428,259,856.3,21.01,1,251,1.8,3,39,1,56565,22155,7,
계양구,작전동,까치한진,79.33,670,384,292,966.8,21.01,1,199,1.8,3,39,1,56565,22155,7,
계양구,작전동,까치한진,52.89,670,286,259,856.3,21.01,1,252,1.8,3,39,1,56565,22155,7,
계양구,작전동,뉴서울2차,89.25,400,80,241,796.4,26.01,1,199,1.8,3,39,1,56565,22155,7,
계양구,작전동,뉴서울2차,102.47,400,320,234,774.3,26.01,1,129,1.8,3,39,1,56565,22155,7,
계양구,작전동,도두리마을대동,79.33,1299,702,309,1021,21.03,1,129,1.8,3,39,1,56565,22155,7,
계양구,작전동,도두리마을대동,56.19,1299,597,276,911.9,21.03,1,218,1.8,3,39,1,56565,22155,7,
계양구,작전동,도두리마을동남,79.33,641,312,287,948,21.01,1,210,1.8,3,39,1,56565,22155,7,
계양구,작전동,도두리마을동남,56.19,641,329,258,853.1,21.01,1,255,1.8,3,39,1,56565,22155,7,
계양구,작전동,도두리마을동보,79.33,1276,1068,296,979.3,22,1,187,1.8,3,39,1,56565,22155,7,
계양구,작전동,도두리마을동보,33.05,1276,208,295,975.2,22,1,258,1.8,3,39,1,56565,22155,7,
계양구,작전동,도두리마을롯데,79.33,641,312,284,937.6,21.01,1,205,1.8,3,39,1,56565,22155,7,
계양구,작전동,도두리마을롯데,56.19,641,329,258,853.1,21.01,1,258,1.8,3,39,1,56565,22155,7,
계양구,작전동,동보1차,82.64,1187,475,242,800,23.08,1,197,1.8,3,39,1,56565,22155,7,
계양구,작전동,동보1차,102.47,1187,632,242,798.5,23.08,1,252,1.8,3,39,1,56565,22155,7,
계양구,작전동,동보1차,138.84,1187,80,227,750,23.08,1,205,1.8,3,39,1,56565,22155,7,
계양구,작전동,동보2차,109.09,502,468,259,856.1,18.07,1,224,1.8,3,39,1,56565,22155,7,
계양구,작전동,동보2차,274.38,502,34,215,710.8,18.07,1,205,1.8,3,39,1,56565,22155,7,
계양구,작전동,동아,89.25,105,45,207,685.2,35,1,166,1.8,3,39,1,56565,22155,7,
계양구,작전동,동아,79.33,105,60,199,656.3,35,1,215,1.8,3,39,1,56565,22155,7,
계양구,작전동,무지개,52.89,240,60,199,656.3,29.06,1,145,1.8,3,39,1,56565,22155,7,
계양구,작전동,무지개,79.33,240,45,195,645.9,29.06,1,140,1.8,3,39,1,56565,22155,7,
계양구,작전동,부민렉스타운,79.33,48,24,246,812.6,10.06,1,132,1.8,3,39,1,56565,22155,7,
계양구,작전동,부민렉스타운,109.09,48,24,225,742.4,10.06,1,128,1.8,3,39,1,56565,22155,7,
계양구,작전동,삼보,102.47,454,30,232,766.2,23.08,1,176,1.8,3,39,1,56565,22155,7,
계양구,작전동,삼보,105.78,454,208,227,750,23.08,1,151,1.8,3,39,1,56565,22155,7,
계양구,작전동,삼보,82.64,454,216,224,740,23.08,1,205,1.8,3,39,1,56565,22155,7,
계양구,작전동,삼천리,59.5,540,108,218,722.3,30,1,203,1.8,3,39,1,56565,22155,7,
계양구,작전동,삼천리,66.11,540,36,216,712.6,30,1,185,1.8,3,39,1,56565,22155,7,
계양구,작전동,삼천리,56.19,540,324,214,706,30,1,139,1.8,3,39,1,56565,22155,7,
계양구,작전동,삼천리,49.58,540,72,187,616.8,30,1,155,1.8,3,39,1,56565,22155,7,
계양구,작전동,선우,76.03,210,150,210,695.7,32.1,1,151,1.8,3,39,1,56565,22155,7,
계양구,작전동,선우,66.11,210,60,185,612.6,32.1,1,143,1.8,3,39,1,56565,22155,7,
계양구,작전동,신진,52.89,410,220,202,668.8,30.05,1,131,1.8,3,39,1,56565,22155,7,
계양구,작전동,신진,56.19,410,190,192,635.4,30.05,1,158,1.8,3,39,1,56565,22155,7,
계양구,작전동,신한,66.11,100,100,189,625.1,34.12,1,147,1.8,3,39,1,56565,22155,7,
계양구,작전동,우남푸르미아,72.72,117,27,289,954.6,12.02,1,134,1.8,3,39,1,56565,22155,7,
계양구,작전동,우남푸르미아,104.73,117,52,257,849.1,12.02,1,126,1.8,3,39,1,56565,22155,7,
계양구,작전동,우남푸르미아,105.19,117,11,256,845.4,12.02,1,129,1.8,3,39,1,56565,22155,7,
계양구,작전동,우남푸르미아,105.3,117,14,255,844.5,12.02,1,193,1.8,3,39,1,56565,22155,7,
계양구,작전동,우남푸르미아,105.47,117,13,255,843.1,12.02,1,158,1.8,3,39,1,56565,22155,7,
계양구,작전동,우암센스뷰,89.33,119,104,204,675.4,15,1,157,1.8,3,39,1,56565,22155,7,
계양구,작전동,우암센스뷰,98.24,119,15,196,647.8,15,1,157,1.8,3,39,1,56565,22155,7,
계양구,작전동,우영,76.03,150,24,187,619.6,34.01,1,156,1.8,3,39,1,56565,22155,7,
계양구,작전동,우영,76.03,150,96,187,619.6,34.01,1,158,1.8,3,39,1,56565,22155,7,
계양구,작전동,우주,66.11,95,5,212,700.1,31.02,1,157,1.8,3,39,1,56565,22155,7,
계양구,작전동,우주,69.42,95,5,202,666.7,31.02,1,125,1.8,3,39,1,56565,22155,7,
계양구,작전동,우주,56.19,95,55,191,632.4,31.02,1,125,1.8,3,39,1,56565,22155,7,
계양구,작전동,우주,62.81,95,30,183,605.3,31.02,1,129,1.8,3,39,1,56565,22155,7,
계양구,작전동,유호,79.33,299,125,233,770.9,23,1,208,1.8,3,39,1,56565,22155,7,
