행정구역,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2016.8,2016.9,2016.1.1,2016.11,2016.12,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2017.8,2017.9,2017.1.1,2017.11,2017.12,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2018.8,2018.9,2018.1.1,2018.11,2018.12
효성동,64737,64601,64495,64505,64425,64402,64168,64119,64079,64058,63995,63856,63735,63637,63553,63493,63347,63347,62947,62890,62779,62684,62453,62091,61510,60769,60235,59887,59600,59431,59221,59118,58987,58826,58712,58503
계산동,86374,86267,86143,86120,86027,85825,85691,85504,85374,85321,85181,85016,84967,84752,84575,84420,84259,84259,85619,85541,85391,85263,85102,84911,84788,84578,84350,84202,83960,83765,83570,83438,83337,83095,82915,82728
작전동,58767,58668,58636,58511,58483,58438,58255,58138,58090,58038,58032,57925,57834,57585,57424,57228,57003,57003,56499,56447,56347,56265,56099,55875,55762,55426,55121,54934,54754,54542,54392,54215,54108,53991,53850,53636
작전서운동,34590,34542,34561,34517,34468,34444,34330,34191,34186,34173,34103,34079,33927,33757,33623,33545,33294,33294,32989,32959,32901,32853,32778,32683,32526,32414,32292,32214,32154,32134,32017,31972,31964,31970,31905,31859
계양동,89645,89552,89636,89569,89586,89531,89552,89538,89499,89488,89497,89408,89262,89100,89130,89140,89153,89153,88825,88744,88586,88457,88355,88224,88025,87685,87444,87195,87034,86872,86721,86581,86488,86242,86123,85954
합계,334113,333630,333471,333222,332989,332640,331996,331490,331228,331078,330808,330284,329725,328831,328305,327826,327056,327056,326879,326581,326004,325522,324787,323784,322611,320872,319442,318432,317502,316744,315921,315324,314884,314124,313505,312680
