"","지.역","X","X.1","X2016년.12월","X.2","X2017년.01월","X.3","X2017년.02월","X.4","X2017년.03월","X.5","X2017년.04월","X.6","X2017년.05월","X.7","X2017년.06월","X.8","X2017년.07월","X.9","X2017년.08월","X.10","X2017년.09월","X.11","X2017년.10월","X.12","X2017년.11월","X.13","X2017년.12월","X.14","X2018년.01월","X.15","X2018년.02월","X.16","X2018년.03월","X.17","X2018년.04월","X.18","X2018년.05월","X.19","X2018년.06월","X.20","X2018년.07월","X.21","X2018년.08월","X.22","X2018년.09월","X.23","X2018년.10월","X.24","X2018년.11월","X.25","X2018년.12월","X.26"
"1","","","","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계","변동률","누계"
"58","","","화수동","0.145","0.276","0.124","0.124","0.316","0.44","0.397","0.839","0.059","0.899","0.468","1.371","0.107","1.48","0.085","1.566","0.084","1.651","0.318","1.974","0.447","2.429","0.356","2.794","0.057","2.853","0.205","0.205","0.434","0.64","0.14","0.781","0.284","1.067","0.11","1.179","0.26","1.442","0.189","1.634","0.238","1.876","0.172","2.051","0.308","2.366","0.234","2.606","0.137","2.747"
"59","","","송현동","0.275","1.33","0.04","0.04","0.317","0.357","0.097","0.455","0.297","0.753","0.193","0.947","0.04","0.987","-0.033","0.954","0.029","0.983","0.03","1.013","0.108","1.122","0.131","1.255","0.197","1.454","0.198","0.198","0.068","0.265","0.246","0.512","0.181","0.694","0.334","1.03","0.19","1.222","0.27","1.495","0.14","1.638","0.142","1.782","0.196","1.982","0.232","2.219","0.152","2.374"
"60","","","화평동","0.145","0.276","0.124","0.124","0.316","0.44","0.397","0.839","0.059","0.899","0.468","1.371","0.107","1.48","0.085","1.566","0.084","1.651","0.318","1.974","0.447","2.429","0.356","2.794","0.057","2.853","0.205","0.205","0.434","0.64","0.14","0.781","0.284","1.067","0.11","1.179","0.26","1.442","0.189","1.634","0.238","1.876","0.172","2.051","0.308","2.366","0.234","2.606","0.137","2.747"
"61","","","창영동","0.04","2.096","0.124","0.124","0.26","0.384","0.177","0.562","0.175","0.738","0.392","1.133","0.148","1.282","-0.107","1.175","0.005","1.18","0.204","1.385","0.886","2.284","0.437","2.731","0.321","3.061","0.181","0.181","0.27","0.452","0.158","0.611","0.382","0.995","0.121","1.117","0.32","1.441","0.079","1.522","0.165","1.69","0.293","1.987","0.284","2.277","0.366","2.652","0.219","2.877"
"62","","","금곡동","0.04","2.096","0.124","0.124","0.26","0.384","0.177","0.562","0.175","0.738","0.392","1.133","0.148","1.282","-0.107","1.175","0.005","1.18","0.204","1.385","0.886","2.284","0.437","2.731","0.321","3.061","0.181","0.181","0.27","0.452","0.158","0.611","0.382","0.995","0.121","1.117","0.32","1.441","0.079","1.522","0.165","1.69","0.293","1.987","0.284","2.277","0.366","2.652","0.219","2.877"
"63","","","송림동","0.112","2.157","0.168","0.168","0.194","0.363","0.49","0.854","0.031","0.885","0.222","1.109","0.256","1.367","0.174","1.544","0.128","1.674","0.349","2.029","0.254","2.287","0.207","2.499","0.51","3.022","0.105","0.105","0.192","0.297","0.361","0.658","0.278","0.939","0.354","1.296","0.131","1.429","0.313","1.746","0.218","1.968","0.104","2.074","0.382","2.464","0.19","2.659","0.281","2.948"
"64","","남구","","0.125","1.557","0.103","0.103","0.145","0.248","0.235","0.483","0.174","0.658","0.248","0.908","0.288","1.199","0.336","1.538","0.303","1.846","0.331","2.183","0.218","2.406","0.224","2.636","0.222","2.863","0.141","0.141","0.249","0.39","0.25","0.642","0.128","0.771","0.292","1.065","0.346","1.415","0.279","1.697","0.27","1.972","0.382","2.361","0.451","2.823","0.47","3.306","0.396","3.715"
"65","","","숭의동","0.186","2.978","0.176","0.176","0.173","0.349","0.27","0.62","0.199","0.82","0.271","1.094","0.366","1.464","0.265","1.733","0.247","1.984","0.331","2.322","0.265","2.593","0.243","2.843","0.221","3.07","0.107","0.107","0.319","0.426","0.296","0.723","0.046","0.77","0.517","1.291","0.542","1.84","0.229","2.073","0.33","2.41","0.594","3.019","0.429","3.46","0.387","3.86","0.354","4.228"
"66","","","용현동","0.116","1.806","0.164","0.164","0.182","0.347","0.237","0.584","0.294","0.88","0.352","1.236","0.303","1.542","0.358","1.906","0.272","2.183","0.387","2.579","0.286","2.873","0.37","3.253","0.246","3.507","0.167","0.167","0.258","0.426","0.212","0.639","0.071","0.71","0.162","0.873","0.384","1.26","0.266","1.53","0.201","1.733","0.371","2.11","0.509","2.631","0.563","3.209","0.289","3.507"
"67","","","학익동","0.139","0.481","0.087","0.087","0.144","0.231","0.259","0.49","0.135","0.626","0.104","0.731","0.248","0.981","0.263","1.246","0.117","1.365","0.115","1.482","0.027","1.509","0.228","1.741","0.216","1.96","0.112","0.112","0.244","0.356","0.198","0.554","0.217","0.773","0.318","1.093","0.212","1.308","0.242","1.552","0.253","1.809","0.24","2.053","0.439","2.5","0.502","3.015","0.457","3.486"
"68","","","도화동","0.109","0.921","0.096","0.096","0.191","0.287","0.198","0.485","0.074","0.559","0.127","0.687","0.142","0.83","0.231","1.063","0.367","1.433","0.225","1.661","0.248","1.913","0.143","2.059","0.136","2.198","0.162","0.162","0.163","0.325","0.15","0.476","0.237","0.715","0.08","0.795","0.238","1.034","0.229","1.266","0.409","1.68","0.565","2.255","0.431","2.696","0.462","3.17","0.335","3.516"
"69","","","주안동","0.123","2.115","0.057","0.057","0.092","0.149","0.242","0.392","0.184","0.576","0.331","0.909","0.355","1.267","0.489","1.763","0.45","2.22","0.515","2.747","0.277","3.031","0.347","3.389","0.267","3.664","0.159","0.159","0.289","0.448","0.332","0.781","0.079","0.861","0.427","1.292","0.425","1.723","0.338","2.067","0.254","2.326","0.348","2.682","0.46","3.154","0.431","3.599","0.445","4.059"
"70","","","관교동","0.125","1.139","0.12","0.12","0.169","0.289","0.12","0.408","0.124","0.533","0.266","0.801","0.204","1.007","0.177","1.186","0.162","1.349","0.246","1.599","0.147","1.749","0.181","1.933","0.229","2.166","0.098","0.098","0.144","0.241","0.471","0.714","0","0.714","0.204","0.919","0.398","1.321","0.362","1.687","0.205","1.896","0.331","2.233","0.319","2.559","0.405","2.975","0.491","3.48"
"71","","","문학동","0.125","1.139","0.12","0.12","0.169","0.289","0.12","0.408","0.124","0.533","0.266","0.801","0.204","1.007","0.177","1.186","0.162","1.349","0.246","1.599","0.147","1.749","0.181","1.933","0.229","2.166","0.098","0.098","0.144","0.241","0.471","0.714","0","0.714","0.204","0.919","0.398","1.321","0.362","1.687","0.205","1.896","0.331","2.233","0.319","2.559","0.405","2.975","0.491","3.48"
"72","","연수구","","0.187","1.797","0.066","0.066","0.266","0.332","0.366","0.7","0.084","0.785","0.218","1.004","0.332","1.339","0.351","1.695","0.315","2.015","0.273","2.294","0.303","2.604","0.243","2.854","0.313","3.176","0.266","0.266","0.231","0.497","0.289","0.787","0.22","1.009","0.248","1.26","0.232","1.495","0.326","1.825","0.297","2.128","0.381","2.517","0.477","3.007","0.418","3.437","0.437","3.889"
"73","","","옥련동","0.379","1.085","-0.319","-0.319","-0.172","-0.49","0.429","-0.063","0.133","0.07","0.341","0.411","0.472","0.886","0.423","1.312","0.39","1.708","0.288","2","0.108","2.111","0.274","2.391","0.126","2.52","0.075","0.075","0.46","0.535","0.379","0.916","0.156","1.074","0.079","1.153","0.133","1.288","0.325","1.617","0.318","1.941","0.336","2.283","0.46","2.753","0.348","3.111","0.555","3.683"
"74","","","선학동","0.193","1.299","-0.624","-0.624","0.199","-0.426","0.232","-0.196","0.223","0.027","0.013","0.04","0.343","0.383","0.152","0.536","0.21","0.748","-0.079","0.668","-0.178","0.488","0.204","0.693","-0.144","0.548","0.133","0.133","0.009","0.142","0.429","0.572","0.29","0.864","0.24","1.106","0.122","1.229","0.276","1.508","0.255","1.767","0.298","2.071","0.412","2.492","0.423","2.925","0.344","3.28"
"75","","","연수동","0.591","3.16","-0.731","-0.731","0.355","-0.379","0.392","0.012","0.152","0.164","0.266","0.43","1.021","1.455","0.219","1.678","0.459","2.144","-0.122","2.02","-0.077","1.942","0.214","2.159","0.224","2.388","0.076","0.076","-0.018","0.057","0.357","0.415","0.399","0.816","0.22","1.037","0.119","1.157","0.316","1.477","0.292","1.773","0.316","2.094","0.457","2.561","0.503","3.077","0.555","3.649"
"76","","","청학동","-0.013","1.252","-0.122","-0.122","0.149","0.027","0.44","0.467","0.152","0.62","0.581","1.205","0.528","1.739","0.274","2.018","0.29","2.314","0.064","2.379","-0.096","2.281","0.126","2.41","0.251","2.667","0.212","0.212","0.235","0.448","0.123","0.572","0.335","0.909","0.179","1.089","0.12","1.211","0.261","1.475","0.232","1.711","0.269","1.984","0.457","2.45","0.324","2.782","0.318","3.109"
"77","","","동춘동","0.468","1.138","-0.203","-0.203","-0.025","-0.228","0.347","0.118","0.049","0.167","0.21","0.377","0.351","0.73","0.626","1.361","0.367","1.733","0.198","1.934","0.132","2.068","-0.059","2.009","0.296","2.31","0.186","0.186","0.375","0.561","0.294","0.857","0.145","1.003","0.053","1.057","0.118","1.176","0.227","1.406","0.233","1.642","0.276","1.922","0.464","2.395","0.543","2.951","0.187","3.143"
"78","","","송도동","0.106","1.884","0.226","0.226","0.341","0.567","0.363","0.932","0.073","1.006","0.197","1.205","0.255","1.462","0.326","1.793","0.293","2.092","0.332","2.43","0.4","2.84","0.288","3.137","0.353","3.5","0.314","0.314","0.217","0.532","0.278","0.812","0.214","1.028","0.293","1.324","0.271","1.599","0.344","1.949","0.309","2.263","0.41","2.682","0.485","3.18","0.402","3.595","0.458","4.07"
"79","","남동구","","0.184","1.863","0.153","0.153","0.258","0.411","0.314","0.727","0.336","1.065","0.315","1.383","0.333","1.721","0.373","2.1","0.447","2.556","0.238","2.801","0.145","2.95","0.175","3.13","0.154","3.289","0.112","0.112","0.169","0.281","0.223","0.504","0.297","0.803","0.316","1.122","0.385","1.511","0.339","1.855","0.322","2.183","0.359","2.55","0.429","2.99","0.444","3.447","0.417","3.878"
