읍면동,분양면적,총세대수,세대수,매매평균 ㎡당가(만원),노후도,역세권점수,전세평균 ㎡당가(만원),토지면적(km2),문화시설수,쇼핑시설수,스타벅스,,metro,culture,shop
효성동,62.81,120,18,167,29.06,0,188,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,62.81,50,50,167,37.02,0,129,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,59.5,270,145,189,32.07,0,125,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,72.72,270,125,172,32.07,0,122,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,79.33A,957,390,265,21.09,0,120,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,79.33B,957,15,265,21.09,0,90,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,109.09C,957,16,236,21.09,0,86,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,109.09A,957,406,236,21.09,0,84,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,109.09B,957,34,236,21.09,0,120,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,138.84,957,96,220,21.09,0,109,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,59.5,350,50,181,34,0,214,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,62.81C,350,40,179,34,0,214,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,62.81E,350,20,179,34,0,193,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,62.81B,350,10,179,34,0,193,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,62.81,350,100,179,34,0,193,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,62.81D,350,100,179,34,0,173,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,62.81A,350,20,179,34,0,95,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,69.42,350,10,169,34,0,91,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,49.58,205,5,182,33.11,0,89,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,76.03,205,70,164,33.11,0,88,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,85.95,208,133,209,22.07,0,86,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,89.25,208,75,202,22.07,0,154,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,82.64,135,15,194,34.01,0,148,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,89.25,135,40,190,34.01,0,111,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,92.56,135,5,189,34.01,0,95,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,85.95,135,25,186,34.01,0,95,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,95.86,135,5,183,34.01,0,92,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,79.33,135,40,176,34.01,0,91,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,99.17,135,5,176,34.01,0,89,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,72.72,280,140,172,33.11,0,87,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,62.81,280,140,159,33.11,0,112,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,82.64,140,30,175,35.01,0,112,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,76.03,140,110,164,35.01,0,85,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,79.33,98,18,189,25.02,0,106,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,82.64,285,130,163,34,0,102,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,95.86,285,5,162,34,0,98,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,66.11,285,80,159,34,0,96,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,79.33,324,160,227,21.11,0,164,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,109.09,324,164,211,21.11,0,156,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,82.64,279,279,218,22.01,0,188,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,85.74,350,350,227,16.04,0,181,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,72.72,168,114,165,29.01,0,113,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,79.33,168,6,164,29.01,0,110,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,56.19,168,42,160,29.01,0,103,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,62.81,168,6,159,29.01,0,98,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,109.09,375,164,225,22.01,0,174,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,79.33,375,194,224,22.01,0,164,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,115.7,375,17,220,22.01,0,158,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,79.33,"1,178",524,243,21.01,0,183,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,109.09,"1,178",654,218,21.01,0,160,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,79.33,342,130,287,21.02,0,249,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,105.78,342,156,277,21.02,0,232,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,142.14,342,40,241,21.02,0,201,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,185.12,342,8,226,21.02,0,181,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,135.53,342,6,220,21.02,0,173,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,238.01,342,2,217,21.02,0,143,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,79.33,498,250,236,22.02,0,183,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,105.78,498,176,222,22.02,0,170,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,128.92,498,72,202,22.02,0,147,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,91,874,237,242,27.01,0,209,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,108.61,874,517,230,27.01,0,184,4.99,2,36,0,,0,0.400801603,7.214428858
효성동,165.87,874,120,211,27.01,0,148,4.99,2,36,0,,0,0.400801603,7.214428858
