구시군,읍면동,아파트명,입주년도,분양면적,총세대수,세대수,매매평균..당가.만원.,X3.3.당가.만원.,노후도,역세권점수,전세평균..당가.만원.,토지면적.km2.,문화시설수,쇼핑시설수,스타벅스
계양구,효성동,대산,2003.03,76.03,131,47,204,673.9,15.09,0,175,4.99,2,36,0
계양구,효성동,대산,2003.03,112.39,131,35,200,661.8,15.09,0,221,4.99,2,36,0
계양구,효성동,대산,2003.03,79.33,131,16,195,645.9,15.09,0,194,4.99,2,36,0
계양구,효성동,대신,1989.06,62.81,120,18,167,552.6,29.06,0,188,4.99,2,36,0
계양구,효성동,동서,1981.1,62.81,50,50,167,552.6,37.02,0,129,4.99,2,36,0
계양구,효성동,동아,1986.05,59.5,270,145,189,625,32.07,0,125,4.99,2,36,0
계양구,효성동,동아,1986.05,72.72,270,125,172,568.2,32.07,0,122,4.99,2,36,0
계양구,효성동,두산,1997.03,79.33,957,390,265,875.1,21.09,0,120,4.99,2,36,0
계양구,효성동,두산,1997.03,79.33,957,15,265,875.1,21.09,0,90,4.99,2,36,0
계양구,효성동,두산,1997.03,109.09,957,16,236,780.3,21.09,0,86,4.99,2,36,0
계양구,효성동,두산,1997.03,109.09,957,406,236,780.3,21.09,0,84,4.99,2,36,0
계양구,효성동,두산,1997.03,109.09,957,34,236,780.3,21.09,0,120,4.99,2,36,0
계양구,효성동,두산,1997.03,138.84,957,96,220,726.2,21.09,0,109,4.99,2,36,0
계양구,효성동,롯데,1984.12,59.5,350,50,181,597.3,34,0,214,4.99,2,36,0
계양구,효성동,롯데,1984.12,62.81,350,40,179,592.1,34,0,214,4.99,2,36,0
계양구,효성동,롯데,1984.12,62.81,350,20,179,592.1,34,0,193,4.99,2,36,0
계양구,효성동,롯데,1984.12,62.81,350,10,179,592.1,34,0,193,4.99,2,36,0
계양구,효성동,롯데,1984.12,62.81,350,100,179,592.1,34,0,193,4.99,2,36,0
계양구,효성동,롯데,1984.12,62.81,350,100,179,592.1,34,0,173,4.99,2,36,0
계양구,효성동,롯데,1984.12,62.81,350,20,179,592.1,34,0,95,4.99,2,36,0
계양구,효성동,롯데,1984.12,69.42,350,10,169,559.5,34,0,91,4.99,2,36,0
계양구,효성동,미도,1985.01,49.58,205,5,182,600.1,33.11,0,89,4.99,2,36,0
계양구,효성동,미도,1985.01,76.03,205,70,164,543.5,33.11,0,88,4.99,2,36,0
계양구,효성동,백영,1996.05,85.95,208,133,209,692.3,22.07,0,86,4.99,2,36,0
계양구,효성동,백영,1996.05,89.25,208,75,202,666.7,22.07,0,154,4.99,2,36,0
계양구,효성동,삼보,1984.11,82.64,135,15,194,640,34.01,0,148,4.99,2,36,0
계양구,효성동,삼보,1984.11,89.25,135,40,190,629.7,34.01,0,111,4.99,2,36,0
계양구,효성동,삼보,1984.11,92.56,135,5,189,625,34.01,0,95,4.99,2,36,0
계양구,효성동,삼보,1984.11,85.95,135,25,186,615.4,34.01,0,95,4.99,2,36,0
계양구,효성동,삼보,1984.11,95.86,135,5,183,603.5,34.01,0,92,4.99,2,36,0
계양구,효성동,삼보,1984.11,79.33,135,40,176,583.4,34.01,0,91,4.99,2,36,0
계양구,효성동,삼보,1984.11,99.17,135,5,176,583.4,34.01,0,89,4.99,2,36,0
계양구,효성동,새사미,1985.01,72.72,280,140,172,568.2,33.11,0,87,4.99,2,36,0
계양구,효성동,새사미,1985.01,62.81,280,140,159,526.3,33.11,0,112,4.99,2,36,0
계양구,효성동,서광,1983.11,82.64,140,30,175,580,35.01,0,112,4.99,2,36,0
계양구,효성동,서광,1983.11,76.03,140,110,164,543.5,35.01,0,85,4.99,2,36,0
계양구,효성동,성지,1993.1,79.33,98,18,189,625.1,25.02,0,106,4.99,2,36,0
계양구,효성동,신진,1984.12,82.64,285,130,163,540,34,0,102,4.99,2,36,0
계양구,효성동,신진,1984.12,95.86,285,5,162,534.5,34,0,98,4.99,2,36,0
계양구,효성동,신진,1984.12,66.11,285,80,159,525,34,0,96,4.99,2,36,0
계양구,효성동,신한,1997.01,79.33,324,160,227,750.1,21.11,0,164,4.99,2,36,0
계양구,효성동,신한,1997.01,109.09,324,164,211,697,21.11,0,156,4.99,2,36,0
계양구,효성동,유승그린,1996.11,82.64,279,279,218,720,22.01,0,188,4.99,2,36,0
계양구,효성동,유승와이드빌,2002.08,85.74,350,350,227,751.8,16.04,0,181,4.99,2,36,0
