행정구역,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2016.8,2016.9,2016.1.1,2016.11,2016.12,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2017.8,2017.9,2017.1.1,2017.11,2017.12,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2018.8,2018.9,2018.1.1,2018.11,2018.12
효성동,23636,23614,23621,23634,23617,23616,23540,23534,23514,23523,23525,23506,23456,23438,23407,23386,23351,23351,23212,23220,23212,23199,23137,23031,22856,22658,22472,22373,22300,22259,22224,22199,22201,22183,22180,22160
계산동,34623,34640,34666,34651,34710,34674,34628,34608,34592,34589,34601,34588,34587,34566,34484,34442,34437,34437,34926,34936,34924,34907,34887,34856,34834,34816,34781,34808,34753,34741,34724,34742,34748,34753,34731,34740
작전동,22493,22478,22486,22461,22492,22481,22463,22458,22457,22496,22529,22531,22522,22431,22386,22329,22304,22304,22133,22140,22132,22123,22099,22047,22009,21908,21834,21809,21763,21712,21675,21654,21640,21645,21602,21544
작전서운동,12547,12532,12549,12519,12514,12502,12489,12447,12442,12448,12435,12409,12351,12308,12249,12226,12151,12151,12088,12091,12087,12082,12055,12047,12025,12021,11989,11971,11981,11985,11974,11982,11994,12009,12020,12035
계양동,33683,33676,33699,33712,33766,33748,33786,33819,33849,33904,33925,33929,33924,33937,33913,33936,33964,33964,33931,33939,33928,33914,33934,33955,33936,33887,33854,33802,33800,33761,33752,33760,33769,33746,33793,33802
합계,126982,126940,127021,126977,127099,127021,126906,126866,126854,126960,127015,126963,126840,126680,126439,126319,126207,126207,126290,126326,126283,126225,126112,125936,125660,125290,124930,124763,124597,124458,124349,124337,124352,124336,124326,124281
