행정구역,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2016.8,2016.9,2016.1.1,2016.11,2016.12,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2017.8,2017.9,2017.1.1,2017.11,2017.12,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2018.8,2018.9,2018.1.1,2018.11,2018.12
옥련동,16508,16538,16554,16532,16539,16577,16540,16514,16502,16517,16548,16563,16584,16570,16591,16636,16670,16670,16652,16669,16675,16677,16672,16656,16594,16530,16511,16493,16508,16497,16477,16471,16464,16443,16384,16351
선학동,8297,8265,8292,8278,8284,8271,8241,8236,8233,8246,8225,8254,8250,8252,8267,8253,8240,8240,8210,8219,8223,8224,8217,8210,8198,8206,8209,8192,8193,8171,8165,8143,8154,8153,8164,8140
연수동,29323,29316,29305,29259,29237,29235,29218,29149,29267,29222,29173,29132,29112,29082,29100,29040,28910,28910,28665,28697,28708,28714,28656,28590,28449,28335,28292,28217,28188,28132,28131,28132,28105,28069,28040,27971
청학동,12770,12803,12811,12810,12846,12825,12793,12765,12727,12735,12718,12720,12742,12751,12787,12781,12796,12796,12756,12770,12775,12778,12768,12734,12702,12675,12638,12630,12584,12578,12576,12614,12625,12615,12605,12585
동춘동,18281,18330,18302,18277,18249,18228,18198,18172,18120,18103,18106,18095,18094,18049,18022,18009,17989,17989,17952,17972,17979,17985,17947,17883,18252,18425,18519,18570,18632,18722,18770,18815,18844,18851,18836,18764
송도동,31034,31422,31698,32297,32886,33390,33748,34065,34719,35281,35576,35816,36025,36757,37231,37504,37961,37961,38411,38453,38468,38478,38949,39840,40699,41281,41579,41816,42005,42119,42289,42495,42711,43634,44652,45995
합계,116213,116674,116962,117453,118041,118526,118738,118901,119568,120104,120346,120580,120807,121461,121998,122223,122566,122566,122646,122780,122828,122856,123209,123913,124894,125452,125748,125918,126110,126219,126408,126670,126903,127765,128681,129806
