구시군,읍면동,아파트명,평균매매가 제곱미터당(만원),분양면적,단지세대수,개별세대수,노후도,역세권점수,전세평균제곱미터당(만원),토지면적.km2.,문화시설수,쇼핑시설수,스타벅스,평균 인구수,평균 세대수,교육시설 수,개발호재유무,혼인건수3년평균
계양구,효성동,뉴서울6차,217,99.17,370,20,23.06,0,151,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,대림,265,79.33,298,125,19.04,0,217,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,대림,251,105.78,298,137,19.04,0,183,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,대림,243,109.09,298,36,19.04,0,202,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,대산,215,85.95,131,33,15.09,0,182,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,대산,204,76.03,131,47,15.09,0,175,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,대산,200,112.39,131,35,15.09,0,221,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,대산,195,79.33,131,16,15.09,0,194,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,대신,167,62.81,120,18,29.06,0,188,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,동서,167,62.81,50,50,37.02,0,129,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,동아,189,59.5,270,145,32.07,0,125,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,동아,172,72.72,270,125,32.07,0,122,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,두산,265,79.33,957,390,21.09,0,120,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,두산,265,79.33,957,15,21.09,0,90,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,두산,236,109.09,957,16,21.09,0,86,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,두산,236,109.09,957,406,21.09,0,84,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,두산,236,109.09,957,34,21.09,0,120,4.99,2,36,0,62311,23066,10,0,132
