구시군,읍면동,아파트명,분양면적,단지세대수,개별세대수,평균매매가.제곱미터당.만원.,노후도,역세권점수,전세평균..당가.만원.,토지면적.km2.,문화시설수,쇼핑시설수,스타벅스,X3년.평균.인구수,X3년.평균.세대수,초중고현황,개발호재유무,혼인건수3년평균
강화군,강화읍,용진2,82.64,60,40,82,28.02,0,36,24.957,9,27,0,22882,9874,9,0,18
강화군,강화읍,유성,76.03,150,30,89,27.09,0,66,24.957,9,27,0,22882,9874,9,0,18
강화군,강화읍,유성,99.17,150,25,88,27.09,0,61,24.957,9,27,0,22882,9874,9,0,18
강화군,강화읍,현대,105.78,219,137,142,24.08,0,92,24.957,9,27,0,22882,9874,9,0,18
강화군,강화읍,현대,76.03,219,82,141,24.08,0,76,24.957,9,27,0,22882,9874,9,0,18
계양구,계양동,삼우,66.11,95,90,166,32.11,3,83,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,삼우,69.42,95,5,158,32.11,3,79,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,용정,62.81,84,60,155,30,3,92,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,용정,69.42,84,24,151,30,3,83,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,유호,76.03,156,72,171,28.03,3,122,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,유호,79.33,156,84,170,28.03,3,117,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,윤성,59.5,60,60,122,29.06,3,80,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,은영칠성,62.81,99,35,155,30,3,92,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,은영칠성,66.11,99,40,147,30,3,87,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,은영칠성,59.5,99,24,130,30,3,80,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,인우,63.15,80,40,170,34.04,3,107,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,한국,66.11,180,72,178,29.08,3,132,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,한국,69.42,180,12,176,29.08,3,126,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,한국,56.19,180,96,162,29.08,3,107,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,한일,62.81,96,36,155,29.07,3,92,30.45,4,63,0,88417,33845,13,0,132
계양구,계양동,한일,56.19,96,36,138,29.07,3,85,30.45,4,63,0,88417,33845,13,0,132
계양구,효성동,경남1차,72.72,320,20,227,31.05,0,144,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,경남1차,62.81,320,300,227,31.05,0,135,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,경남2차,62.81,156,108,215,28.07,0,131,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,경남2차,72.72,156,48,213,28.07,0,123,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,금호어울림,76.21,410,147,302,13.04,0,256,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,금호어울림,99.97,410,14,273,13.04,0,235,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,금호어울림,108.31,410,183,259,13.04,0,217,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,금호어울림,148.76,410,6,229,13.04,0,178,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,금호어울림,161.67,410,60,216,13.04,0,161,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,뉴서울1차,69.42,460,70,166,33.05,0,113,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,뉴서울2차,62.81,775,5,171,32,0,111,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,뉴서울2차,56.19,775,190,166,32,0,108,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,뉴서울2차,66.11,775,50,163,32,0,107,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,뉴서울3차,99.17,542,22,222,25.04,0,101,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,뉴서울3차,102.66,542,432,180,25.04,0,111,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,뉴서울3차,102.66,542,88,180,25.04,0,106,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,뉴서울5차,79.33,648,260,255,24,0,93,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,뉴서울5차,109.09,648,388,220,24,0,86,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,뉴서울6차,79.33,370,224,246,23.06,0,187,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,뉴서울6차,105.78,370,126,225,23.06,0,151,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,뉴서울6차,99.17,370,20,217,23.06,0,151,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,대림,79.33,298,125,265,19.04,0,217,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,대림,105.78,298,137,251,19.04,0,183,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,대림,109.09,298,36,243,19.04,0,202,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,대산,85.95,131,33,215,15.09,0,182,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,대산,76.03,131,47,204,15.09,0,175,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,대산,112.39,131,35,200,15.09,0,221,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,대산,79.33,131,16,195,15.09,0,194,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,대신,62.81,120,18,167,29.06,0,188,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,동서,62.81,50,50,167,37.02,0,129,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,동아,59.5,270,145,189,32.07,0,125,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,동아,72.72,270,125,172,32.07,0,122,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,두산,79.33,957,390,265,21.09,0,120,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,두산,79.33,957,15,265,21.09,0,90,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,두산,109.09,957,16,236,21.09,0,86,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,두산,109.09,957,406,236,21.09,0,84,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,두산,109.09,957,34,236,21.09,0,120,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,두산,138.84,957,96,220,21.09,0,109,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,롯데,59.5,350,50,181,34,0,214,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,롯데,62.81,350,40,179,34,0,214,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,롯데,62.81,350,20,179,34,0,193,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,롯데,62.81,350,10,179,34,0,193,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,롯데,62.81,350,100,179,34,0,193,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,롯데,62.81,350,100,179,34,0,173,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,롯데,62.81,350,20,179,34,0,95,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,롯데,69.42,350,10,169,34,0,91,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,미도,49.58,205,5,182,33.11,0,89,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,미도,76.03,205,70,164,33.11,0,88,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,백영,85.95,208,133,209,22.07,0,86,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,백영,89.25,208,75,202,22.07,0,154,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,삼보,82.64,135,15,194,34.01,0,148,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,삼보,89.25,135,40,190,34.01,0,111,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,삼보,92.56,135,5,189,34.01,0,95,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,삼보,85.95,135,25,186,34.01,0,95,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,삼보,95.86,135,5,183,34.01,0,92,4.99,2,36,0,62311,23066,10,0,132
계양구,효성동,삼보,79.33,135,40,176,34.01,0,91,4.99,2,36,0,62311,23066,10,0,132
