구시군,읍면동,아파트명,분양면적,총세대수,세대수,매매평균 ㎡당가(만원),3.3㎡당가(만원),입주년도,노후도,역세권점수,전세평균 ㎡당가(만원),토지면적(km2),문화시설수,쇼핑시설수,스타벅스
강화군,강화읍,BAYHILL,105.88,179,24,182,601,2004.09,14.03,0,90,24.957,9,27,0
강화군,강화읍,BAYHILL,95.14,179,60,173,573.3,2004.09,14.03,0,88,24.957,9,27,0
강화군,강화읍,BAYHILL,79.8,179,95,169,559.3,2004.09,14.03,0,84,24.957,9,27,0
강화군,선원면,강화1차세광엔리치빌,109.09,576,576,138,454.6,2001.01,17.11,0,87,21.392,2,4,0
강화군,선원면,강화2차세광엔리치빌,86.65,497,262,173,572.3,2004.03,14.09,0,114,21.392,2,4,0
강화군,선원면,강화2차세광엔리치빌,104.09,497,120,168,555.8,2004.03,14.09,0,112,21.392,2,4,0
강화군,선원면,강화2차세광엔리치빌,127.36,497,89,167,551.6,2004.03,14.09,0,110,21.392,2,4,0
강화군,선원면,강화2차세광엔리치빌,129.65,497,26,164,541.8,2004.03,14.09,0,110,21.392,2,4,0
강화군,강화읍,그랑드빌,76.03,98,45,158,521.8,2000.12,18,0,85,24.957,9,27,0
강화군,강화읍,그랑드빌,105.78,98,33,142,468.8,2000.12,18,0,80,24.957,9,27,0
강화군,강화읍,그랑드빌,145.45,98,20,131,431.8,2000.12,18,0,69,24.957,9,27,0
강화군,강화읍,설호,76.03,90,10,82,271.8,1990.1,28.02,0,43,24.957,9,27,0
강화군,강화읍,설호,89.25,90,30,76,250,1990.1,28.02,0,36,24.957,9,27,0
강화군,강화읍,설호,99.17,90,50,73,241.7,1990.1,28.02,0,35,24.957,9,27,0
강화군,강화읍,용진2,59.5,60,20,87,286.1,1990.1,28.02,0,38,24.957,9,27,0
강화군,강화읍,용진2,82.64,60,40,82,270,1990.1,28.02,0,36,24.957,9,27,0
강화군,강화읍,유성,76.03,150,30,89,293.5,1991.03,27.09,0,66,24.957,9,27,0
강화군,강화읍,유성,99.17,150,25,88,291.7,1991.03,27.09,0,61,24.957,9,27,0
