지 역,,,2016년 01월,,2016년 02월,,2016년 03월,,2016년 04월,,2016년 05월,,2016년 06월,,2016년 07월,,2016년 08월,,2016년 09월,,2016년 10월,,2016년 11월,,2016년 12월,,2017년 01월,,2017년 02월,,2017년 03월,,2017년 04월,,2017년 05월,,2017년 06월,,2017년 07월,,2017년 08월,,2017년 09월,,2017년 10월,,2017년 11월,,2017년 12월,,2018년 01월,,2018년 02월,,2018년 03월,,2018년 04월,,2018년 05월,,2018년 06월,,2018년 07월,,2018년 08월,,2018년 09월,,2018년 10월,,2018년 11월,,2018년 12월,
,,,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계
,,북성동1가,0.017,0.017,-0.114,-0.097,0.03,-0.068,-0.157,-0.225,-0.018,-0.243,0.084,-0.159,0.013,-0.147,0.117,-0.03,0.003,-0.027,0.08,0.053,0.219,0.272,0.191,0.464,0.198,0.198,0.235,0.433,0.273,0.708,0.25,0.959,0.28,1.242,0.113,1.356,0.028,1.384,0.223,1.611,0.308,1.924,0.026,1.951,0.303,2.261,0.427,2.697,0.287,0.287,0.115,0.402,0.199,0.603,0.124,0.727,0.1,0.828,0.227,1.057,0.272,1.332,0.304,1.641,0.164,1.807,0.289,2.101,0.178,2.283,0.166,2.453
,,북성동2가,-0.003,-0.003,0.125,0.122,0.138,0.261,-0.027,0.234,0.031,0.265,0.064,0.328,-0.009,0.319,0.173,0.493,0.049,0.541,0.159,0.702,0.386,1.091,0.014,1.105,0.023,0.023,0.185,0.208,0.048,0.256,0.055,0.311,0.028,0.339,-0.046,0.293,0.407,0.701,0.492,1.197,0.397,1.599,0.186,1.788,0.228,2.02,0.318,2.344,0.232,0.232,0.188,0.42,0.114,0.534,0.238,0.774,0.157,0.932,0.268,1.203,0.267,1.473,0.305,1.783,0.196,1.982,0.339,2.328,0.38,2.717,0.376,3.103
,,북성동3가,-0.003,-0.003,0.125,0.122,0.138,0.261,-0.027,0.234,0.031,0.265,0.064,0.328,-0.009,0.319,0.173,0.493,0.049,0.541,0.159,0.702,0.386,1.091,0.014,1.105,0.023,0.023,0.185,0.208,0.048,0.256,0.055,0.311,0.028,0.339,-0.046,0.293,0.407,0.701,0.492,1.197,0.397,1.599,0.186,1.788,0.228,2.02,0.318,2.344,0.232,0.232,0.188,0.42,0.114,0.534,0.238,0.774,0.157,0.932,0.268,1.203,0.267,1.473,0.305,1.783,0.196,1.982,0.339,2.328,0.38,2.717,0.376,3.103
,,선린동,-0.003,-0.003,0.125,0.122,0.138,0.261,-0.027,0.234,0.031,0.265,0.064,0.328,-0.009,0.319,0.173,0.493,0.049,0.541,0.159,0.702,0.386,1.091,0.014,1.105,0.023,0.023,0.185,0.208,0.048,0.256,0.055,0.311,0.028,0.339,-0.046,0.293,0.407,0.701,0.492,1.197,0.397,1.599,0.186,1.788,0.228,2.02,0.318,2.344,0.232,0.232,0.188,0.42,0.114,0.534,0.238,0.774,0.157,0.932,0.268,1.203,0.267,1.473,0.305,1.783,0.196,1.982,0.339,2.328,0.38,2.717,0.376,3.103
,,송월동1가,0.077,0.077,-0.102,-0.025,0.203,0.178,-0.022,0.156,0.139,0.295,0.172,0.468,0.033,0.501,0.026,0.527,0.028,0.554,0.158,0.713,0.221,0.936,0.108,1.045,0.097,0.097,0.108,0.205,0.158,0.363,0.049,0.412,0.062,0.473,0.061,0.534,0.223,0.758,0.161,0.92,0.265,1.188,0.133,1.323,0.174,1.498,0.202,1.703,0.131,0.131,0.052,0.183,0.148,0.331,0.231,0.563,0.27,0.834,0.207,1.042,0.169,1.213,0.396,1.614,0.148,1.764,0.402,2.173,0.264,2.443,0.329,2.78
,,송월동2가,0.077,0.077,-0.102,-0.025,0.203,0.178,-0.022,0.156,0.139,0.295,0.172,0.468,0.033,0.501,0.026,0.527,0.028,0.554,0.158,0.713,0.221,0.936,0.108,1.045,0.097,0.097,0.108,0.205,0.158,0.363,0.049,0.412,0.062,0.473,0.061,0.534,0.223,0.758,0.161,0.92,0.265,1.188,0.133,1.323,0.174,1.498,0.202,1.703,0.131,0.131,0.052,0.183,0.148,0.331,0.231,0.563,0.27,0.834,0.207,1.042,0.169,1.213,0.396,1.614,0.148,1.764,0.402,2.173,0.264,2.443,0.329,2.78
,,송월동3가,0.077,0.077,-0.102,-0.025,0.203,0.178,-0.022,0.156,0.139,0.295,0.172,0.468,0.033,0.501,0.026,0.527,0.028,0.554,0.158,0.713,0.221,0.936,0.108,1.045,0.097,0.097,0.108,0.205,0.158,0.363,0.049,0.412,0.062,0.473,0.061,0.534,0.223,0.758,0.161,0.92,0.265,1.188,0.133,1.323,0.174,1.498,0.202,1.703,0.131,0.131,0.052,0.183,0.148,0.331,0.231,0.563,0.27,0.834,0.207,1.042,0.169,1.213,0.396,1.614,0.148,1.764,0.402,2.173,0.264,2.443,0.329,2.78
,,중산동,0.173,0.173,0.157,0.331,0.459,0.791,0.337,1.13,0.194,1.326,0.474,1.807,0.667,2.485,0.218,2.708,0.184,2.897,0.178,3.081,0.143,3.229,0.243,3.479,0.213,0.213,0.231,0.445,0.298,0.744,0.211,0.957,0.15,1.108,0.119,1.229,0.288,1.52,0.077,1.598,0.257,1.859,0.172,2.035,0.148,2.186,0.366,2.56,0.276,0.276,0.178,0.455,0.164,0.62,0.127,0.747,0.203,0.951,0.235,1.189,0.246,1.438,0.266,1.707,0.191,1.902,0.277,2.184,0.258,2.447,0.279,2.733
,,운남동,0.173,0.173,0.157,0.331,0.459,0.791,0.337,1.13,0.194,1.326,0.474,1.807,0.667,2.485,0.218,2.708,0.184,2.897,0.178,3.081,0.143,3.229,0.243,3.479,0.213,0.213,0.231,0.445,0.298,0.744,0.211,0.957,0.15,1.108,0.119,1.229,0.288,1.52,0.077,1.598,0.257,1.859,0.172,2.035,0.148,2.186,0.366,2.56,0.276,0.276,0.178,0.455,0.164,0.62,0.127,0.747,0.203,0.951,0.235,1.189,0.246,1.438,0.266,1.707,0.191,1.902,0.277,2.184,0.258,2.447,0.279,2.733
,,운서동,0.111,0.111,0.148,0.259,-0.062,0.197,0.017,0.214,0.008,0.221,0.071,0.293,0.21,0.504,0.025,0.529,0.086,0.615,0.134,0.75,0.123,0.875,0.101,0.977,0.155,0.155,0.261,0.417,0.213,0.63,0.146,0.777,-0.02,0.757,0.149,0.907,0.172,1.081,0.265,1.349,0.161,1.511,0.171,1.685,0.205,1.894,0.225,2.124,0.278,0.278,0.172,0.45,0.289,0.741,0.115,0.856,0.239,1.097,0.192,1.29,0.182,1.474,0.115,1.591,0.23,1.824,0.243,2.072,0.205,2.281,0.209,2.495
,,운북동,0.173,0.173,0.157,0.331,0.459,0.791,0.337,1.13,0.194,1.326,0.474,1.807,0.667,2.485,0.218,2.708,0.184,2.897,0.178,3.081,0.143,3.229,0.243,3.479,0.213,0.213,0.231,0.445,0.298,0.744,0.211,0.957,0.15,1.108,0.119,1.229,0.288,1.52,0.077,1.598,0.257,1.859,0.172,2.035,0.148,2.186,0.366,2.56,0.276,0.276,0.178,0.455,0.164,0.62,0.127,0.747,0.203,0.951,0.235,1.189,0.246,1.438,0.266,1.707,0.191,1.902,0.277,2.184,0.258,2.447,0.279,2.733
,,을왕동,0.055,0.055,0.051,0.105,0.235,0.341,0.05,0.39,-0.019,0.371,0.156,0.527,-0.151,0.375,0.026,0.401,0.183,0.585,0.187,0.773,0.178,0.953,0.168,1.122,0.065,0.065,0.208,0.273,0.207,0.48,0.258,0.74,0.142,0.883,0.102,0.985,0.216,1.204,0.103,1.308,0.086,1.395,0.109,1.505,0.122,1.629,0.172,1.804,0.19,0.19,0.152,0.342,0.162,0.505,0.18,0.685,0.203,0.889,0.079,0.969,0.051,1.02,0.309,1.332,0.184,1.518,0.274,1.797,0.337,2.14,0.392,2.54
,,남북동,0.055,0.055,0.051,0.105,0.235,0.341,0.05,0.39,-0.019,0.371,0.156,0.527,-0.151,0.375,0.026,0.401,0.183,0.585,0.187,0.773,0.178,0.953,0.168,1.122,0.065,0.065,0.208,0.273,0.207,0.48,0.258,0.74,0.142,0.883,0.102,0.985,0.216,1.204,0.103,1.308,0.086,1.395,0.109,1.505,0.122,1.629,0.172,1.804,0.19,0.19,0.152,0.342,0.162,0.505,0.18,0.685,0.203,0.889,0.079,0.969,0.051,1.02,0.309,1.332,0.184,1.518,0.274,1.797,0.337,2.14,0.392,2.54
,,덕교동,0.055,0.055,0.051,0.105,0.235,0.341,0.05,0.39,-0.019,0.371,0.156,0.527,-0.151,0.375,0.026,0.401,0.183,0.585,0.187,0.773,0.178,0.953,0.168,1.122,0.065,0.065,0.208,0.273,0.207,0.48,0.258,0.74,0.142,0.883,0.102,0.985,0.216,1.204,0.103,1.308,0.086,1.395,0.109,1.505,0.122,1.629,0.172,1.804,0.19,0.19,0.152,0.342,0.162,0.505,0.18,0.685,0.203,0.889,0.079,0.969,0.051,1.02,0.309,1.332,0.184,1.518,0.274,1.797,0.337,2.14,0.392,2.54
,,무의동,0.055,0.055,0.051,0.105,0.235,0.341,0.05,0.39,-0.019,0.371,0.156,0.527,-0.151,0.375,0.026,0.401,0.183,0.585,0.187,0.773,0.178,0.953,0.168,1.122,0.065,0.065,0.208,0.273,0.207,0.48,0.258,0.74,0.142,0.883,0.102,0.985,0.216,1.204,0.103,1.308,0.086,1.395,0.109,1.505,0.122,1.629,0.172,1.804,0.19,0.19,0.152,0.342,0.162,0.505,0.18,0.685,0.203,0.889,0.079,0.969,0.051,1.02,0.309,1.332,0.184,1.518,0.274,1.797,0.337,2.14,0.392,2.54
,동구,,0.121,0.121,0.037,0.157,-0.066,0.091,0.122,0.213,0.154,0.368,0.112,0.48,-0.073,0.407,0.279,0.687,0.12,0.807,0.31,1.12,0.217,1.339,0.157,1.498,0.103,0.103,0.234,0.337,0.261,0.599,0.185,0.785,0.223,1.009,0.093,1.103,0.049,1.153,0.055,1.209,0.22,1.432,0.256,1.691,0.227,1.922,0.277,2.205,0.156,0.156,0.167,0.323,0.279,0.604,0.271,0.876,0.284,1.163,0.211,1.375,0.256,1.635,0.179,1.817,0.152,1.971,0.262,2.239,0.201,2.444,0.21,2.659
,,만석동,0.108,0.108,0.113,0.221,-0.226,-0.006,0.046,0.04,0.241,0.282,0.153,0.435,-0.064,0.37,0.127,0.497,0,0.497,0.166,0.664,0.29,0.956,0.019,0.976,0.087,0.087,0.071,0.158,0.048,0.206,0.361,0.568,0.092,0.661,-0.182,0.478,-0.037,0.441,-0.056,0.385,0.309,0.695,0.327,1.024,0.359,1.387,0.05,1.438,0.144,0.144,0.143,0.287,0.29,0.578,0.425,1.005,0.153,1.16,0.388,1.552,0.18,1.735,0.141,1.879,0.238,2.121,0.099,2.223,0.088,2.312,0.218,2.535
,,화수동,0.206,0.206,0.1,0.306,-0.039,0.267,0.14,0.407,0.25,0.658,0.167,0.826,-0.029,0.797,0.182,0.981,-0.187,0.792,-0.297,0.493,-0.361,0.131,0.145,0.276,0.124,0.124,0.316,0.44,0.397,0.839,0.059,0.899,0.468,1.371,0.107,1.48,0.085,1.566,0.084,1.651,0.318,1.974,0.447,2.429,0.356,2.794,0.057,2.853,0.205,0.205,0.434,0.64,0.14,0.781,0.284,1.067,0.11,1.179,0.26,1.442,0.189,1.634,0.238,1.876,0.172,2.051,0.308,2.366,0.234,2.606,0.137,2.747
,,송현동,0.091,0.091,0.019,0.11,-0.033,0.077,0.125,0.203,0.091,0.294,0.1,0.393,-0.006,0.387,0.124,0.512,0.06,0.572,0.2,0.773,0.277,1.052,0.275,1.33,0.04,0.04,0.317,0.357,0.097,0.455,0.297,0.753,0.193,0.947,0.04,0.987,-0.033,0.954,0.029,0.983,0.03,1.013,0.108,1.122,0.131,1.255,0.197,1.454,0.198,0.198,0.068,0.265,0.246,0.512,0.181,0.694,0.334,1.03,0.19,1.222,0.27,1.495,0.14,1.638,0.142,1.782,0.196,1.982,0.232,2.219,0.152,2.374
,,화평동,0.206,0.206,0.1,0.306,-0.039,0.267,0.14,0.407,0.25,0.658,0.167,0.826,-0.029,0.797,0.182,0.981,-0.187,0.792,-0.297,0.493,-0.361,0.131,0.145,0.276,0.124,0.124,0.316,0.44,0.397,0.839,0.059,0.899,0.468,1.371,0.107,1.48,0.085,1.566,0.084,1.651,0.318,1.974,0.447,2.429,0.356,2.794,0.057,2.853,0.205,0.205,0.434,0.64,0.14,0.781,0.284,1.067,0.11,1.179,0.26,1.442,0.189,1.634,0.238,1.876,0.172,2.051,0.308,2.366,0.234,2.606,0.137,2.747
,,창영동,0.174,0.174,0.049,0.222,-0.185,0.037,0.121,0.158,0.448,0.607,0.172,0.779,-0.428,0.348,0.322,0.671,0.645,1.32,0.505,1.832,0.219,2.055,0.04,2.096,0.124,0.124,0.26,0.384,0.177,0.562,0.175,0.738,0.392,1.133,0.148,1.282,-0.107,1.175,0.005,1.18,0.204,1.385,0.886,2.284,0.437,2.731,0.321,3.061,0.181,0.181,0.27,0.452,0.158,0.611,0.382,0.995,0.121,1.117,0.32,1.441,0.079,1.522,0.165,1.69,0.293,1.987,0.284,2.277,0.366,2.652,0.219,2.877
,,금곡동,0.174,0.174,0.049,0.222,-0.185,0.037,0.121,0.158,0.448,0.607,0.172,0.779,-0.428,0.348,0.322,0.671,0.645,1.32,0.505,1.832,0.219,2.055,0.04,2.096,0.124,0.124,0.26,0.384,0.177,0.562,0.175,0.738,0.392,1.133,0.148,1.282,-0.107,1.175,0.005,1.18,0.204,1.385,0.886,2.284,0.437,2.731,0.321,3.061,0.181,0.181,0.27,0.452,0.158,0.611,0.382,0.995,0.121,1.117,0.32,1.441,0.079,1.522,0.165,1.69,0.293,1.987,0.284,2.277,0.366,2.652,0.219,2.877
,,송림동,0.127,0.127,0.005,0.132,-0.027,0.105,0.145,0.25,0.122,0.373,0.086,0.459,-0.115,0.343,0.521,0.866,0.256,1.124,0.624,1.755,0.283,2.043,0.112,2.157,0.168,0.168,0.194,0.363,0.49,0.854,0.031,0.885,0.222,1.109,0.256,1.367,0.174,1.544,0.128,1.674,0.349,2.029,0.254,2.287,0.207,2.499,0.51,3.022,0.105,0.105,0.192,0.297,0.361,0.658,0.278,0.939,0.354,1.296,0.131,1.429,0.313,1.746,0.218,1.968,0.104,2.074,0.382,2.464,0.19,2.659,0.281,2.948
,남구,,0.084,0.084,0.161,0.244,0.194,0.439,0.073,0.512,0.103,0.615,-0.057,0.558,0.217,0.776,0.159,0.937,0.097,1.034,0.207,1.243,0.185,1.43,0.125,1.557,0.103,0.103,0.145,0.248,0.235,0.483,0.174,0.658,0.248,0.908,0.288,1.199,0.336,1.538,0.303,1.846,0.331,2.183,0.218,2.406,0.224,2.636,0.222,2.863,0.141,0.141,0.249,0.39,0.25,0.642,0.128,0.771,0.292,1.065,0.346,1.415,0.279,1.697,0.27,1.972,0.382,2.361,0.451,2.823,0.47,3.306,0.396,3.715
,,숭의동,0.158,0.158,0.324,0.483,0.432,0.916,0.148,1.066,0.107,1.174,-0.077,1.096,0.479,1.58,0.261,1.846,0.462,2.317,0.215,2.537,0.243,2.787,0.186,2.978,0.176,0.176,0.173,0.349,0.27,0.62,0.199,0.82,0.271,1.094,0.366,1.464,0.265,1.733,0.247,1.984,0.331,2.322,0.265,2.593,0.243,2.843,0.221,3.07,0.107,0.107,0.319,0.426,0.296,0.723,0.046,0.77,0.517,1.291,0.542,1.84,0.229,2.073,0.33,2.41,0.594,3.019,0.429,3.46,0.387,3.86,0.354,4.228
,,용현동,0.006,0.006,0.233,0.239,0.187,0.426,0.285,0.712,0.112,0.825,-0.127,0.697,0.21,0.909,0.143,1.054,0.124,1.179,0.252,1.434,0.251,1.688,0.116,1.806,0.164,0.164,0.182,0.347,0.237,0.584,0.294,0.88,0.352,1.236,0.303,1.542,0.358,1.906,0.272,2.183,0.387,2.579,0.286,2.873,0.37,3.253,0.246,3.507,0.167,0.167,0.258,0.426,0.212,0.639,0.071,0.71,0.162,0.873,0.384,1.26,0.266,1.53,0.201,1.733,0.371,2.11,0.509,2.631,0.563,3.209,0.289,3.507
,,학익동,0.054,0.054,0.133,0.186,0.126,0.312,-0.043,0.27,0.056,0.326,-0.069,0.257,0.024,0.281,-0.054,0.226,-0.067,0.159,0.1,0.259,0.082,0.341,0.139,0.481,0.087,0.087,0.144,0.231,0.259,0.49,0.135,0.626,0.104,0.731,0.248,0.981,0.263,1.246,0.117,1.365,0.115,1.482,0.027,1.509,0.228,1.741,0.216,1.96,0.112,0.112,0.244,0.356,0.198,0.554,0.217,0.773,0.318,1.093,0.212,1.308,0.242,1.552,0.253,1.809,0.24,2.053,0.439,2.5,0.502,3.015,0.457,3.486
,,도화동,0.022,0.022,0.036,0.058,0.18,0.238,0.045,0.283,0.045,0.328,-0.06,0.268,0.094,0.362,0.137,0.499,-0.074,0.425,0.206,0.631,0.179,0.811,0.109,0.921,0.096,0.096,0.191,0.287,0.198,0.485,0.074,0.559,0.127,0.687,0.142,0.83,0.231,1.063,0.367,1.433,0.225,1.661,0.248,1.913,0.143,2.059,0.136,2.198,0.162,0.162,0.163,0.325,0.15,0.476,0.237,0.715,0.08,0.795,0.238,1.034,0.229,1.266,0.409,1.68,0.565,2.255,0.431,2.696,0.462,3.17,0.335,3.516
,,주안동,0.159,0.159,0.152,0.311,0.185,0.496,0.009,0.505,0.167,0.673,-0.009,0.664,0.318,0.984,0.311,1.298,0.231,1.532,0.261,1.797,0.189,1.99,0.123,2.115,0.057,0.057,0.092,0.149,0.242,0.392,0.184,0.576,0.331,0.909,0.355,1.267,0.489,1.763,0.45,2.22,0.515,2.747,0.277,3.031,0.347,3.389,0.267,3.664,0.159,0.159,0.289,0.448,0.332,0.781,0.079,0.861,0.427,1.292,0.425,1.723,0.338,2.067,0.254,2.326,0.348,2.682,0.46,3.154,0.431,3.599,0.445,4.059
,,관교동,0.128,0.128,0.225,0.353,0.086,0.44,0.078,0.518,0.049,0.567,-0.006,0.561,0.375,0.938,-0.027,0.91,-0.204,0.704,0.13,0.835,0.176,1.013,0.125,1.139,0.12,0.12,0.169,0.289,0.12,0.408,0.124,0.533,0.266,0.801,0.204,1.007,0.177,1.186,0.162,1.349,0.246,1.599,0.147,1.749,0.181,1.933,0.229,2.166,0.098,0.098,0.144,0.241,0.471,0.714,0,0.714,0.204,0.919,0.398,1.321,0.362,1.687,0.205,1.896,0.331,2.233,0.319,2.559,0.405,2.975,0.491,3.48
,,문학동,0.128,0.128,0.225,0.353,0.086,0.44,0.078,0.518,0.049,0.567,-0.006,0.561,0.375,0.938,-0.027,0.91,-0.204,0.704,0.13,0.835,0.176,1.013,0.125,1.139,0.12,0.12,0.169,0.289,0.12,0.408,0.124,0.533,0.266,0.801,0.204,1.007,0.177,1.186,0.162,1.349,0.246,1.599,0.147,1.749,0.181,1.933,0.229,2.166,0.098,0.098,0.144,0.241,0.471,0.714,0,0.714,0.204,0.919,0.398,1.321,0.362,1.687,0.205,1.896,0.331,2.233,0.319,2.559,0.405,2.975,0.491,3.48
,연수구,,0.154,0.154,0.099,0.254,0.17,0.424,0.199,0.624,0.153,0.779,0.19,0.97,0.075,1.046,0.125,1.172,0.113,1.286,0.176,1.464,0.14,1.607,0.187,1.797,0.066,0.066,0.266,0.332,0.366,0.7,0.084,0.785,0.218,1.004,0.332,1.339,0.351,1.695,0.315,2.015,0.273,2.294,0.303,2.604,0.243,2.854,0.313,3.176,0.266,0.266,0.231,0.497,0.289,0.787,0.22,1.009,0.248,1.26,0.232,1.495,0.326,1.825,0.297,2.128,0.381,2.517,0.477,3.007,0.418,3.437,0.437,3.889
,,옥련동,0.079,0.079,0.062,0.14,0.114,0.254,0.013,0.267,0.079,0.347,0.113,0.46,0.02,0.479,0.05,0.529,0.001,0.53,0.035,0.566,0.137,0.703,0.379,1.085,-0.319,-0.319,-0.172,-0.49,0.429,-0.063,0.133,0.07,0.341,0.411,0.472,0.886,0.423,1.312,0.39,1.708,0.288,2,0.108,2.111,0.274,2.391,0.126,2.52,0.075,0.075,0.46,0.535,0.379,0.916,0.156,1.074,0.079,1.153,0.133,1.288,0.325,1.617,0.318,1.941,0.336,2.283,0.46,2.753,0.348,3.111,0.555,3.683
,,선학동,0.072,0.072,0,0.072,0.089,0.161,0.099,0.26,0.166,0.426,0.041,0.467,0.05,0.518,0.09,0.609,0.025,0.634,0,0.634,0.468,1.104,0.193,1.299,-0.624,-0.624,0.199,-0.426,0.232,-0.196,0.223,0.027,0.013,0.04,0.343,0.383,0.152,0.536,0.21,0.748,-0.079,0.668,-0.178,0.488,0.204,0.693,-0.144,0.548,0.133,0.133,0.009,0.142,0.429,0.572,0.29,0.864,0.24,1.106,0.122,1.229,0.276,1.508,0.255,1.767,0.298,2.071,0.412,2.492,0.423,2.925,0.344,3.28
,,연수동,0.161,0.161,0.061,0.221,0.271,0.492,0.203,0.696,0.147,0.844,0.119,0.964,0.053,1.018,0.161,1.181,0.327,1.512,0.252,1.767,0.773,2.554,0.591,3.16,-0.731,-0.731,0.355,-0.379,0.392,0.012,0.152,0.164,0.266,0.43,1.021,1.455,0.219,1.678,0.459,2.144,-0.122,2.02,-0.077,1.942,0.214,2.159,0.224,2.388,0.076,0.076,-0.018,0.057,0.357,0.415,0.399,0.816,0.22,1.037,0.119,1.157,0.316,1.477,0.292,1.773,0.316,2.094,0.457,2.561,0.503,3.077,0.555,3.649
,,청학동,0.112,0.112,0.024,0.136,0.097,0.233,0.051,0.284,0.023,0.307,0.157,0.465,-0.004,0.461,0.092,0.553,0.079,0.632,0.187,0.821,0.44,1.265,-0.013,1.252,-0.122,-0.122,0.149,0.027,0.44,0.467,0.152,0.62,0.581,1.205,0.528,1.739,0.274,2.018,0.29,2.314,0.064,2.379,-0.096,2.281,0.126,2.41,0.251,2.667,0.212,0.212,0.235,0.448,0.123,0.572,0.335,0.909,0.179,1.089,0.12,1.211,0.261,1.475,0.232,1.711,0.269,1.984,0.457,2.45,0.324,2.782,0.318,3.109
,,동춘동,0.106,0.106,0.004,0.11,0.032,0.142,0.179,0.321,0.022,0.343,0.139,0.482,0.06,0.542,0.069,0.611,0.01,0.621,0.093,0.715,-0.048,0.667,0.468,1.138,-0.203,-0.203,-0.025,-0.228,0.347,0.118,0.049,0.167,0.21,0.377,0.351,0.73,0.626,1.361,0.367,1.733,0.198,1.934,0.132,2.068,-0.059,2.009,0.296,2.31,0.186,0.186,0.375,0.561,0.294,0.857,0.145,1.003,0.053,1.057,0.118,1.176,0.227,1.406,0.233,1.642,0.276,1.922,0.464,2.395,0.543,2.951,0.187,3.143
,,송도동,0.174,0.174,0.126,0.3,0.194,0.495,0.228,0.724,0.187,0.912,0.217,1.131,0.089,1.221,0.138,1.361,0.123,1.486,0.199,1.688,0.087,1.776,0.106,1.884,0.226,0.226,0.341,0.567,0.363,0.932,0.073,1.006,0.197,1.205,0.255,1.462,0.326,1.793,0.293,2.092,0.332,2.43,0.4,2.84,0.288,3.137,0.353,3.5,0.314,0.314,0.217,0.532,0.278,0.812,0.214,1.028,0.293,1.324,0.271,1.599,0.344,1.949,0.309,2.263,0.41,2.682,0.485,3.18,0.402,3.595,0.458,4.07
,남동구,,0.011,0.011,0.124,0.135,0.103,0.238,0.194,0.432,0.13,0.563,0.124,0.687,0.194,0.882,0.18,1.064,0.187,1.253,0.232,1.488,0.185,1.676,0.184,1.863,0.153,0.153,0.258,0.411,0.314,0.727,0.336,1.065,0.315,1.383,0.333,1.721,0.373,2.1,0.447,2.556,0.238,2.801,0.145,2.95,0.175,3.13,0.154,3.289,0.112,0.112,0.169,0.281,0.223,0.504,0.297,0.803,0.316,1.122,0.385,1.511,0.339,1.855,0.322,2.183,0.359,2.55,0.429,2.99,0.444,3.447,0.417,3.878
,,구월동,-0.181,-0.181,0.224,0.043,-0.001,0.042,0.305,0.347,0.705,1.055,-0.468,0.582,-0.2,0.381,0.015,0.396,0.154,0.55,0.586,1.139,0.248,1.39,0.244,1.637,0.131,0.131,0.223,0.354,0.428,0.784,0.391,1.178,0.355,1.537,0.378,1.921,0.876,2.814,0.919,3.759,0.421,4.196,0.149,4.351,0.313,4.678,0.29,4.981,0.175,0.175,0.552,0.728,0.386,1.117,0.133,1.251,0.648,1.906,1.136,3.064,0.398,3.474,0.607,4.102,0.418,4.537,0.671,5.239,0.481,5.745,0.653,6.436
,,간석동,-0.014,-0.014,-0.326,-0.34,-0.279,-0.619,0.395,-0.227,0.067,-0.16,0.447,0.286,0.554,0.842,0.181,1.025,0.032,1.057,0.994,2.062,0.189,2.254,0.213,2.472,0.198,0.198,0.282,0.48,0.311,0.792,0.353,1.149,0.364,1.517,0.364,1.886,0.379,2.272,0.696,2.984,0.526,3.525,0.33,3.867,0.399,4.281,0.442,4.742,0.4,0.4,0.19,0.591,0.396,0.989,0.612,1.607,0.441,2.055,-0.017,2.038,0.433,2.48,0.485,2.977,0.514,3.507,0.407,3.928,0.719,4.675,0.755,5.465
,,만수동,-0.443,-0.443,-0.334,-0.775,0.266,-0.511,0.348,-0.165,-0.482,-0.646,0.044,-0.603,0.622,0.015,0.123,0.138,0.163,0.302,0.246,0.549,0.128,0.678,0.172,0.851,0.188,0.188,0.293,0.481,0.283,0.766,0.331,1.099,0.334,1.437,0.333,1.774,0.602,2.387,0.329,2.723,0.643,3.384,0.015,3.4,0.092,3.495,-0.281,3.204,0.303,0.303,0.192,0.495,0.289,0.785,0.141,0.928,0.296,1.227,-0.095,1.131,0.17,1.303,0.224,1.53,0.376,1.912,0.447,2.368,0.412,2.79,0.325,3.123
,,장수동,-0.02,-0.02,0.078,0.058,0.459,0.517,0.103,0.621,0.18,0.802,0.104,0.906,0.251,1.159,0,1.159,0.093,1.253,-0.106,1.146,0.185,1.333,0.175,1.511,0.196,0.196,0.331,0.527,0.229,0.758,0.258,1.017,0.296,1.317,0.301,1.621,0.182,1.806,0.025,1.831,0.042,1.874,0.132,2.008,-0.089,1.918,0.037,1.956,0.537,0.537,-0.329,0.206,0.136,0.342,1.162,1.508,0.225,1.736,-0.245,1.486,0,1.486,0.137,1.625,0.144,1.771,0.143,1.917,0.093,2.012,0.201,2.217
,,서창동,-0.213,-0.213,-0.024,-0.237,0.387,0.149,0.091,0.24,0.245,0.485,0.256,0.742,0.547,1.293,0.287,1.584,0.243,1.831,0.244,2.079,0.183,2.266,0.3,2.573,0.162,0.162,0.249,0.411,0.386,0.799,0.323,1.125,0.328,1.457,0.363,1.825,-0.523,1.292,0.595,1.894,-0.26,1.629,-0.054,1.574,0.09,1.666,0.081,1.749,0.197,0.197,0.221,0.418,-0.089,0.329,0.441,0.772,-0.233,0.537,0.095,0.632,0.456,1.091,0.183,1.276,0.137,1.415,0.347,1.767,0.357,2.13,0.248,2.383
,,운연동,0,0,0.048,0.048,0.105,0.153,0.067,0.22,0.134,0.354,0.153,0.508,0.126,0.634,0.206,0.842,0.241,1.085,0.012,1.096,0.106,1.203,0.182,1.387,0.128,0.128,0.334,0.462,0.353,0.817,0.275,1.094,0.335,1.432,0.299,1.736,-0.745,0.978,0.055,1.034,0.512,1.551,0.456,2.014,0.142,2.159,0.836,3.014,0.694,0.694,-0.113,0.58,-0.087,0.493,0.924,1.421,0.344,1.77,0.085,1.857,0.13,1.989,0.329,2.325,0.175,2.504,0.201,2.71,0.379,3.1,0.19,3.296
