지 역,,,2016년 01월,,2016년 02월,,2016년 03월,,2016년 04월,,2016년 05월,,2016년 06월,,2016년 07월,,2016년 08월,,2016년 09월,,2016년 10월,,2016년 11월,,2016년 12월,,2017년 01월,,2017년 02월,,2017년 03월,,2017년 04월,,2017년 05월,,2017년 06월,,2017년 07월,,2017년 08월,,2017년 09월,,2017년 10월,,2017년 11월,,2017년 12월,,2018년 01월,,2018년 02월,,2018년 03월,,2018년 04월,,2018년 05월,,2018년 06월,,2018년 07월,,2018년 08월,,2018년 09월,,2018년 10월,,2018년 11월,,2018년 12월,
,,,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계,변동률,누계
,,해안동4가,0.047,0.047,-0.088,-0.04,0.161,0.121,0.106,0.227,0.081,0.308,0.073,0.381,0.091,0.472,0.091,0.564,0.137,0.702,0.276,0.979,0.217,1.199,0.252,1.454,0.049,0.049,0.096,0.145,0.02,0.165,0.129,0.294,0.066,0.36,0.106,0.467,0.147,0.614,0.135,0.75,0.068,0.819,0.059,0.879,0.164,1.044,0.097,1.142,0.03,0.03,0.071,0.101,0.138,0.239,0.193,0.432,0.037,0.469,0.159,0.629,0.147,0.777,0.19,0.968,0.234,1.205,0.351,1.56,0.128,1.69,0.225,1.919
,,관동1가,0.043,0.043,-0.081,-0.037,0.207,0.169,0.073,0.242,0.036,0.279,0.177,0.456,-0.222,0.233,0.102,0.336,0.015,0.351,0.237,0.588,0.178,0.767,0.192,0.961,0.179,0.179,-0.009,0.17,0.149,0.319,0.111,0.431,0.038,0.469,0.124,0.594,0.242,0.837,0.496,1.337,0.502,1.846,0.157,2.006,0.12,2.129,0.043,2.173,0.064,0.064,0.168,0.232,0.136,0.369,0.102,0.472,0.27,0.743,0.102,0.846,0.125,0.972,0.183,1.157,0.085,1.243,0.32,1.567,0.136,1.705,0.31,2.02
,,관동2가,0.043,0.043,-0.081,-0.037,0.207,0.169,0.073,0.242,0.036,0.279,0.177,0.456,-0.222,0.233,0.102,0.336,0.015,0.351,0.237,0.588,0.178,0.767,0.192,0.961,0.179,0.179,-0.009,0.17,0.149,0.319,0.111,0.431,0.038,0.469,0.124,0.594,0.242,0.837,0.496,1.337,0.502,1.846,0.157,2.006,0.12,2.129,0.043,2.173,0.064,0.064,0.168,0.232,0.136,0.369,0.102,0.472,0.27,0.743,0.102,0.846,0.125,0.972,0.183,1.157,0.085,1.243,0.32,1.567,0.136,1.705,0.31,2.02
,,관동3가,0.043,0.043,-0.081,-0.037,0.207,0.169,0.073,0.242,0.036,0.279,0.177,0.456,-0.222,0.233,0.102,0.336,0.015,0.351,0.237,0.588,0.178,0.767,0.192,0.961,0.179,0.179,-0.009,0.17,0.149,0.319,0.111,0.431,0.038,0.469,0.124,0.594,0.242,0.837,0.496,1.337,0.502,1.846,0.157,2.006,0.12,2.129,0.043,2.173,0.064,0.064,0.168,0.232,0.136,0.369,0.102,0.472,0.27,0.743,0.102,0.846,0.125,0.972,0.183,1.157,0.085,1.243,0.32,1.567,0.136,1.705,0.31,2.02
,,항동1가,0.112,0.112,0.014,0.126,0.029,0.154,0.179,0.334,0.173,0.507,0.028,0.535,-0.113,0.421,0.198,0.621,0.138,0.759,0.297,1.058,0.175,1.235,0.194,1.432,0.094,0.094,0.184,0.278,0.168,0.447,0.061,0.508,0.077,0.586,0.114,0.701,0.159,0.86,0.206,1.068,0.21,1.281,0.136,1.418,0.117,1.537,0.178,1.718,0.048,0.048,0.143,0.191,0.118,0.31,0.157,0.467,0.127,0.595,0.06,0.654,0.149,0.805,0.149,0.955,0.172,1.128,0.292,1.424,0.254,1.682,0.294,1.981
,,항동2가,0.112,0.112,0.014,0.126,0.029,0.154,0.179,0.334,0.173,0.507,0.028,0.535,-0.113,0.421,0.198,0.621,0.138,0.759,0.297,1.058,0.175,1.235,0.194,1.432,0.094,0.094,0.184,0.278,0.168,0.447,0.061,0.508,0.077,0.586,0.114,0.701,0.159,0.86,0.206,1.068,0.21,1.281,0.136,1.418,0.117,1.537,0.178,1.718,0.048,0.048,0.143,0.191,0.118,0.31,0.157,0.467,0.127,0.595,0.06,0.654,0.149,0.805,0.149,0.955,0.172,1.128,0.292,1.424,0.254,1.682,0.294,1.981
,,항동3가,0.112,0.112,0.014,0.126,0.029,0.154,0.179,0.334,0.173,0.507,0.028,0.535,-0.113,0.421,0.198,0.621,0.138,0.759,0.297,1.058,0.175,1.235,0.194,1.432,0.094,0.094,0.184,0.278,0.168,0.447,0.061,0.508,0.077,0.586,0.114,0.701,0.159,0.86,0.206,1.068,0.21,1.281,0.136,1.418,0.117,1.537,0.178,1.718,0.048,0.048,0.143,0.191,0.118,0.31,0.157,0.467,0.127,0.595,0.06,0.654,0.149,0.805,0.149,0.955,0.172,1.128,0.292,1.424,0.254,1.682,0.294,1.981
,,항동4가,0.112,0.112,0.014,0.126,0.029,0.154,0.179,0.334,0.173,0.507,0.028,0.535,-0.113,0.421,0.198,0.621,0.138,0.759,0.297,1.058,0.175,1.235,0.194,1.432,0.094,0.094,0.184,0.278,0.168,0.447,0.061,0.508,0.077,0.586,0.114,0.701,0.159,0.86,0.206,1.068,0.21,1.281,0.136,1.418,0.117,1.537,0.178,1.718,0.048,0.048,0.143,0.191,0.118,0.31,0.157,0.467,0.127,0.595,0.06,0.654,0.149,0.805,0.149,0.955,0.172,1.128,0.292,1.424,0.254,1.682,0.294,1.981
,,항동5가,0.085,0.085,0.022,0.107,0.157,0.264,0.079,0.343,0.095,0.439,0.073,0.512,0.018,0.53,0.178,0.709,0.139,0.849,0.304,1.156,0.073,1.23,0.037,1.267,0.062,0.062,0.21,0.272,0.014,0.286,0.007,0.293,0.106,0.399,0.076,0.475,0.131,0.607,0.171,0.779,0.121,0.901,0.108,1.01,0.17,1.182,0.248,1.432,0.174,0.174,0.109,0.284,0.088,0.373,0.111,0.484,0.307,0.792,0.087,0.88,0.288,1.171,0.204,1.377,0.338,1.72,0.203,1.927,0.285,2.217,0.087,2.306
,,항동6가,0.085,0.085,0.022,0.107,0.157,0.264,0.079,0.343,0.095,0.439,0.073,0.512,0.018,0.53,0.178,0.709,0.139,0.849,0.304,1.156,0.073,1.23,0.037,1.267,0.062,0.062,0.21,0.272,0.014,0.286,0.007,0.293,0.106,0.399,0.076,0.475,0.131,0.607,0.171,0.779,0.121,0.901,0.108,1.01,0.17,1.182,0.248,1.432,0.174,0.174,0.109,0.284,0.088,0.373,0.111,0.484,0.307,0.792,0.087,0.88,0.288,1.171,0.204,1.377,0.338,1.72,0.203,1.927,0.285,2.217,0.087,2.306
