시군구,행정구역,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.1,2016.11,2016.12,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.1,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.1,2018.11,2018.12,3년간 평균
계양구,작전동,0.171,0.379,-0.251,0,-0.135,0.213,0.221,0,0.205,0.072,0.109,0.034,0.102,0.378,0.21,0.055,0.709,0.391,0.456,0.476,0.245,0.531,0.353,0.162,0.165,0.195,0.269,0.215,0.214,0.32,0.144,0.247,0.356,0.388,0.368,0.193,0.226666667
계양구,작전서운동,-0.439,0.589,-0.192,0.342,0.109,0.22,0.17,0.287,-0.05,0.136,0.125,0.006,0.128,0.126,0.222,0.254,0.407,0.454,0.528,0.273,0.207,0.027,0.385,-0.161,0.221,0.04,0.182,0.495,0.103,0.152,0.172,0.176,0.402,0.163,0.558,0.353,0.199166667
계양구,계양동,0.231,0.329,0.307,0.277,0.847,0.799,0.653,0.259,0.668,0.558,0.444,0.243,0.61,0.307,0.887,0.308,1.604,0.731,1.652,0.937,1.46,1.098,1.48,0.856,0.338,0.685,0.862,1.163,1.908,1.003,1.651,1.626,1.688,1.511,2.541,3.214,0.992638889
계양구,합계,0.041,0.201,0.045,0.143,0.087,0.052,0.167,0.129,0.181,0.15,0.1,0.07,0.101,0.187,0.222,0.096,0.373,0.257,0.342,0.264,0.24,0.269,0.308,0.214,0.198,0.176,0.224,0.316,0.257,0.213,0.228,0.321,0.325,0.354,0.447,0.399,0.213805556
남동구,간석동,-0.014,-0.326,-0.279,0.395,0.067,0.447,0.554,0.181,0.032,0.994,0.189,0.213,0.198,0.282,0.311,0.353,0.364,0.364,0.379,0.696,0.526,0.33,0.399,0.442,0.4,0.19,0.396,0.612,0.441,-0.017,0.433,0.485,0.514,0.407,0.719,0.755,0.345333333
남동구,구월동,-0.181,0.224,-0.001,0.305,0.705,-0.468,-0.2,0.015,0.154,0.586,0.248,0.244,0.131,0.223,0.428,0.391,0.355,0.378,0.876,0.919,0.421,0.149,0.313,0.29,0.175,0.552,0.386,0.133,0.648,1.136,0.398,0.607,0.418,0.671,0.481,0.653,0.354527778
남동구,남촌도림동,0.794,-0.152,0.444,0.211,-0.493,0.234,0.613,0.315,0.175,0.385,0.402,0.61,0.419,0.63,0.821,0.903,0.831,0.954,0.481,1.092,-0.268,0.527,0.28,1.71,1.095,0.205,1.326,0.441,1.608,0.503,1.303,0.793,1.007,0.93,0.462,0.863,0.623722222
남동구,논현동,-0.121,-0.179,-0.269,-0.312,0.008,0.372,0.439,0.31,0.165,0.238,0.209,0.132,0.191,0.311,0.3,0.318,0.299,0.317,0.081,0.024,-0.019,-0.009,0.141,0.494,-0.057,0.047,0.095,-0.115,-0.009,0.155,0.222,0.205,0.44,0.352,0.419,0.277,0.151972222
남동구,논현고잔동,0.477,1.082,0.489,0.457,0.33,0.278,-0.292,0.244,0.406,-0.319,0.171,0.115,0.084,0.23,0.234,0.333,0.277,0.294,0.469,0.26,0.229,0.325,0.112,-0.451,-0.306,-0.058,0.143,0.767,0.322,0.72,0.4,0.173,0.219,0.358,0.478,0.305,0.259861111
남동구,만수동,-0.443,-0.334,0.266,0.348,-0.482,0.044,0.622,0.123,0.163,0.246,0.128,0.172,0.188,0.293,0.283,0.331,0.334,0.333,0.602,0.329,0.643,0.015,0.092,-0.281,0.303,0.192,0.289,0.141,0.296,-0.095,0.17,0.224,0.376,0.447,0.412,0.325,0.197083333
