행정구역,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2016.8,2016.9,2016.1.1,2016.11,2016.12,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2017.8,2017.9,2017.1.1,2017.11,2017.12,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2018.8,2018.9,2018.1.1,2018.11,2018.12
만석동,7880,7841,7850,7843,7835,7835,7791,7745,7729,7760,7730,7719,7707,7703,7686,7699,7695,7695,7761,7741,7727,7717,7718,7714,7677,7662,7628,7597,7578,7591,7604,7574,7592,7569,7541,7505
화수동,16257,16219,16195,16143,16131,16126,16085,16053,16017,15953,15931,15918,15896,15862,15823,15804,15769,15769,15734,15698,15663,15649,15615,15552,15505,15389,15327,15313,15297,15272,15239,15199,15147,15116,15096,15067
송현동,16362,16338,16322,16314,16290,16291,16213,16158,16137,16179,16155,16108,16093,16063,16027,16014,15981,15981,15949,15912,15877,15863,15862,15801,15722,15599,15535,15444,15374,15305,15261,15262,15252,15215,15119,15077
송림동,28313,28294,28237,28227,28154,28120,28060,27911,27860,27846,27797,27745,27693,27673,27614,27582,27467,27467,27404,27341,27280,27260,27134,27058,26937,26724,26489,26241,26039,25900,25778,25770,25721,25618,25447,25315
금창동,3650,3640,3612,3602,3590,3568,3537,3516,3501,3542,3531,3524,3510,3496,3477,3471,3478,3478,3419,3411,3403,3401,3375,3362,3344,3315,3297,3292,3298,3311,3305,3307,3309,3282,3280,3269
합계,72462,72332,72216,72129,72000,71940,71686,71383,71244,71280,71144,71014,70899,70797,70627,70570,70390,70390,70267,70103,69950,69890,69704,69487,69185,68689,68276,67887,67586,67379,67187,67112,67021,66800,66483,66233
