행정구역,2016.1,2016.2,2016.3,2016.4,2016.5,2016.6,2016.7,2016.8,2016.9,2016.1.1,2016.11,2016.12,2017.1,2017.2,2017.3,2017.4,2017.5,2017.6,2017.7,2017.8,2017.9,2017.1.1,2017.11,2017.12,2018.1,2018.2,2018.3,2018.4,2018.5,2018.6,2018.7,2018.8,2018.9,2018.1.1,2018.11,2018.12
숭의동,39772,39870,39978,40084,40192,40360,40521,40795,41068,41340,41431,41636,41721,41807,42007,42197,42791,42791,43940,43953,43949,43971,44250,44397,44637,44873,45077,45366,45726,43834,45625,45764,45860,45910,45973,45954
용현동,77292,77324,77318,77313,77377,77932,82665,85785,87333,87891,88296,88348,88579,88719,88746,88736,88871,88871,88818,88844,88840,88892,88935,88908,88807,88805,88945,89080,89096,88597,89668,89664,89569,89538,89389,89986
학익동,57089,57068,57077,56994,57122,57110,56457,56135,55846,55883,55863,55928,55970,55943,55931,55900,55916,55916,55696,55713,55710,55744,55683,55599,55456,55315,55208,55149,55155,55559,54904,54802,54750,54601,54394,54187
도화동,41674,41768,41748,41748,41784,41782,41676,41593,41540,41540,41875,42350,42661,42900,42951,43144,43255,43255,43728,43741,43739,43766,43808,43851,43850,45697,48260,49509,50108,43620,50628,50716,50727,50801,50932,50964
주안동,156349,156313,156540,156672,156749,157051,156650,156520,156490,156650,156947,156692,156628,156538,156771,156708,156910,156910,155985,156031,156024,156120,155606,154865,153654,152092,150126,148900,147975,155600,146662,146290,146036,145530,145227,144711
관교동,17596,17605,17605,17587,17588,17523,17460,17371,17368,17350,17348,17324,17312,17250,17224,17197,17186,17186,17061,17066,17065,17076,17015,16973,16940,16888,16850,16826,16769,17019,16684,16657,16639,16600,16590,16519
문학동,15220,15173,15101,15092,15045,15021,14953,14935,14986,15050,14957,14825,14816,14801,14801,14825,14812,14812,14811,14815,14815,14824,14769,14674,14640,14559,14494,14491,14456,14774,14362,14319,14299,14256,14266,14221
합계,404992,405121,405367,405490,405857,406779,410382,413134,414631,415704,416717,417103,417687,417958,418431,418707,419741,419741,420039,420163,420142,420393,420066,419267,417984,418229,418960,419321,419285,419003,418533,418212,417880,417236,416771,416542
